smiles,qed,sas,gsk3b_score,jnk3_score,logP,weight
CCCc1nc(O)cs1,0.684416626,2.720864315,-4.4,-4.5,1.8012,143.0404849
CCCc1nc(N)cs1,0.681923605,2.633639084,-4.5,-4.4,1.6778,142.0564693
CCCc1csc(O)n1,0.684416626,2.965088315,-4.7,-4.5,1.8012,143.0404849
CCCc1csc(N)n1,0.681923605,2.290957853,-4.4,-4.2,1.6778,142.0564693
CCCc1csc(N)c1,0.671490385,2.795306776,-4.3,-4.5,2.2828,141.0612204
CCCc1csc(I)n1,0.738260331,2.939661238,-4.3,-4.4,2.7002,252.9422183
CCCNc1csnn1,0.693866202,2.957409664,-5,-4.4,1.36,143.0517183
CCCNc1cscn1,0.697509743,2.782069427,-4.2,-4,1.965,142.0564693
CC(C)Nc1cscn1,0.682451938,2.904492007,-4.1,-4.2,1.9634,142.0564693
C=CNCc1ccsc1,0.674854867,2.97422209,-3.8,-4,1.9812,139.0455703
CCNc1nc(F)cs1,0.686684147,3.000933238,-4,-4.3,1.714,146.0313974
COCc1nc(N)cs1,0.669655572,2.73463293,-4.2,-4.4,0.8717,144.0357339
COCc1csc(N)n1,0.669655572,2.359258161,-4.1,-4.2,0.8717,144.0357339
Nc1nc(CCF)cs1,0.681303494,2.830077238,-4,-4.4,1.2373,146.0313974
CCCNc1ncccn1,0.681912769,1.949363266,-4.7,-4.6,1.2985,137.0952974
CCNc1cscc1F,0.673022581,3.002982469,-4,-4.1,2.319,145.0361485
CSCCc1cscn1,0.669199606,2.769623865,-3.7,-3.9,2.0486,159.0176413
COCc1cc(N)cs1,0.680151802,2.748661853,-3.9,-4.3,1.4767,143.0404849
O=C(O)c1cc(I)cs1,0.778519933,3.006251084,-4.4,-4.5,2.0509,253.8898483
Ic1nnc(C2CC2)s1,0.714387005,2.989828623,-5.2,-4.7,2.0201,251.9218172
CCOc1nc(N)cs1,0.676323317,2.988997853,-4.2,-4.4,1.124,144.0357339
COCc1csc(I)n1,0.75273059,3.007961546,-3.9,-4,1.8941,254.9214828
Nc1cnccc1I,0.668290324,2.752390848,-4.1,-4.3,1.2684,219.9497462
Nc1cncc(I)c1,0.668290324,2.840930708,-4.3,-4.4,1.2684,219.9497462
Nc1ccncc1I,0.668290324,2.659470568,-4.2,-4.4,1.2684,219.9497462
Nc1ccc(I)cn1,0.668290324,2.45160833,-4.3,-4.6,1.2684,219.9497462
Nc1cc(I)ccn1,0.668290324,2.65904889,-4.4,-4.5,1.2684,219.9497462
Oc1cncc(I)c1,0.671195135,2.868692246,-4.2,-4.7,1.3918,220.9337617
O=C(Nc1ncon1)C1CC1,0.668006997,2.706355671,-5.6,-5.5,0.4181,153.0538265
C=CNc1ncc(F)cn1,0.667881252,2.988612773,-4.4,-4.6,1.1711,139.0545754
COc1ccc(I)nn1,0.684298541,2.765969546,-5.3,-4.8,1.0898,235.9446608
Ic1ccc(C2CC2)o1,0.680643438,2.885855084,-4.7,-4.7,2.7616,233.9541628
CCCc1nc(I)cs1,0.738260331,3.013101238,-4.2,-4.4,2.7002,252.9422183
CCCNc1ncncn1,0.667358208,2.419740985,-4.7,-4.6,0.6935,138.0905463
CNc1ncc(I)c(C)n1,0.764869116,2.794828341,-4.8,-4.6,1.43132,248.9762953
COCc1cscc1N,0.680151802,2.8614637,-4,-4.1,1.4767,143.0404849
CCNc1ncc(F)cn1,0.668435327,2.2876364,-4.7,-4.7,1.0475,141.0702255
NCc1ccc(I)s1,0.742890782,3.015071267,-4,-4,1.8114,238.9265682
CNc1snnc1COC,0.705790481,2.870960026,-4.2,-4.6,0.7262,159.0466329
CCNc1ncc(I)cn1,0.807121808,2.636539696,-4.7,-4.6,1.513,248.9762953
OCc1ccncc1I,0.741091317,2.618341853,-4.3,-4.5,1.1785,234.9494118
NCCCc1csnn1,0.667196658,3.009316765,-4.3,-4.4,0.4294,143.0517183
COc1cncc(I)n1,0.684298541,3.013821238,-4.5,-4.3,1.0898,235.9446608
CCNc1csc(C)n1,0.68164894,2.6255917,-4.1,,1.88332,142.0564693
CCNc1noc(CC)n1,0.683485409,2.819571015,-5.3,,1.0638,141.090212
CCc1cscc1NC,0.666310504,2.871582469,-4.1,,2.3522,141.0612204
CCCc1nc(NC)no1,0.683485409,2.785964422,-5.1,,1.0638,141.090212
CCNc1cscc1C,0.666874571,2.823658161,-4.1,,2.48832,141.0612204
FCCNc1ncccn1,0.677905321,2.42365133,-4.6,,0.858,141.0702255
Nc1ncccc1I,0.668290324,2.466826512,-4.4,,1.2684,219.9497462
SCCCc1cscn1,0.665610779,2.964939842,-3.6,,2.0055,159.0176413
Oc1ccc(I)cn1,0.671195135,3.022057281,-4.4,0,1.3918,220.9337617
COc1cc(C2CC2)[nH]n1,0.66837751,2.701107279,-5,,1.2957,138.0793129
O=C(O)CSc1cscn1,0.703783148,3.018807279,-4.5,0,1.3198,174.9761704
O=C(Nc1ncsn1)C1CC1,0.71479722,3.023142272,-4.9,0,0.8866,169.0309828
Ic1ccncc1I,0.665140361,2.900167072,-3.9,,2.2908,330.8354951
CNCc1csc(C)n1,0.670182279,2.25662493,-3.9,,1.17092,142.0564693
CNc1ncc(I)c(N)n1,0.720093607,2.792982187,-4.9,0,0.7051,249.9715442
O=C(O)Cc1cscn1,0.664830609,2.4643837,-4.3,,0.7702,143.0040994
CSc1nc(CO)cs1,0.66472447,2.731697546,-4.2,,1.3573,160.9969058
CCNc1ncc(C)cn1,0.66552557,2.184002883,-4.8,,1.21682,137.0952974
CCSNc1ncccn1,0.672046519,3.027381834,-4.5,0,1.5566,155.0517183
C=CNc1ncc(C)cn1,0.664552832,2.884979257,-4.6,-4.7,1.34042,135.0796473
CCNc1snnc1CO,0.672451615,2.973560026,-4.8,-4.6,0.4622,159.0466329
CNCc1nc(C)cs1,0.670182279,2.340499392,-3.9,-4.2,1.17092,142.0564693
CCCc1cc(I)cs1,0.70820974,3.029035392,-4.2,-4.4,3.3052,251.9469693
NCc1csc(CF)n1,0.677459834,3.030453238,-4,-4.2,1.0713,146.0313974
COc1nc(CO)cs1,0.663803481,2.833699392,-4.3,-4.4,0.644,145.0197495
COc1csc(CO)n1,0.663803481,2.913818776,-4.4,-4.5,0.644,145.0197495
CNc1noc(C(C)C)n1,0.672670354,2.926371931,-5.4,-5.1,1.2347,141.090212
CCCc1nnsc1NC,0.722731752,2.879262773,-4.7,-4.6,1.5323,157.0673684
COc1cnc(I)cn1,0.684298541,3.0320317,-4.4,-4.3,1.0898,235.9446608
O=C(O)Cc1cnsc1,0.664830609,3.016756623,-4.5,-4.6,0.7702,143.0040994
CCCNc1nccnn1,0.667358208,2.513899605,-5.4,-4.7,0.6935,138.0905463
COCc1csc(O)n1,0.674527734,3.033388623,-4.3,-4.4,0.9951,145.0197495
CNc1ncnn1C(C)C,0.663311887,2.974279623,-4.4,-4.6,0.9007,140.1061964
CCNc1snnc1CC,0.722731752,2.827136949,-4.5,-4.5,1.5323,157.0673684
CCNc1snnc1CN,0.669198104,3.015508927,-4.4,-4.4,0.4286,158.0626173
OCC=Cc1ccsc1,0.663215329,2.684736291,-4.3,-4.3,1.7536,140.0295859
CSc1nc(CN)cs1,0.663192531,2.792825546,-3.9,-4.1,1.3237,160.0128903
COc1ccsc1I,0.684451508,2.881380358,-3.6,-3.8,2.3613,239.9105838
Ic1cncc(I)c1,0.665140361,3.025235603,-4.1,-3.9,2.2908,330.8354951
OCSCc1ccsc1,0.681753993,2.782394279,-4,-4.2,1.9311,160.0016569
Cc1nc(CCN)cs1,0.66745924,2.323778776,-3.9,-4.1,0.95272,142.0564693
OCCc1csc(F)n1,0.671329693,3.036789238,-4.3,-4.3,0.817,147.015413
Oc1ccc(I)cc1,0.6625946,1.807567072,-4.5,-4.7,1.9968,219.9385128
Cc1nc(NC2CC2)no1,0.662386294,2.746428707,-5.4,-4.9,0.95232,139.0745619
CCCNc1noc(C)n1,0.686729902,2.71068585,-5.3,-4.7,1.19992,141.090212
CCCNc1snnc1C,0.724867123,2.783660026,-4.6,-4.5,1.66842,157.0673684
NCSCc1ccsc1,0.68161201,2.902190137,-3.8,-4,1.8975,159.0176413
CCNc1cscc1O,0.662200036,3.005618776,-4.2,-4.4,1.8855,143.0404849
CNCc1csc(F)n1,0.672958495,3.039774469,-4,-4.2,1.0016,146.0313974
CNC(=O)c1cc(I)cs1,0.771004754,2.973207828,-4.6,-4.8,1.7123,266.9214828
Cc1nc(NC(C)C)no1,0.671884665,2.849761674,-5.1,-4.9,1.19832,141.090212
CCOc1cscc1N,0.6838762,2.750057546,-3.9,-4.3,1.729,143.0404849
Oc1ncccc1I,0.671195135,2.795055883,-4.4,-4.6,1.3918,220.9337617
CNc1ncc(CF)cn1,0.66689857,2.686469916,-4.7,-4.6,0.9878,141.0702255
CNC(=O)CSc1csnn1,0.698211505,3.001680733,-4.9,-5,0.3762,189.0030538
OCc1ccc(I)o1,0.730597138,2.688755183,-4.3,-4.3,1.3765,223.9334274
Nc1cc(I)c(F)cn1,0.693666656,2.851906853,-4.5,-4.8,1.4075,237.9403243
c1nc(NC2CCC2)no1,0.664521046,2.902814194,-5.5,-4.8,1.034,139.0745619
CCCc1cscc1N,0.671490385,2.77171293,-4.2,-4.5,2.2828,141.0612204
NC(=O)c1cscc1I,0.756098866,3.026166469,-4.4,-4.4,1.4516,252.9058327
COc1nc(CN)cs1,0.661214639,2.894827392,-4.1,-4.2,0.6104,144.0357339
COc1csc(CN)n1,0.661214639,2.874750469,-4,-4.1,0.6104,144.0357339
C=CNc1nccc(C)n1,0.664552832,2.821282004,-4.5,-4.6,1.34042,135.0796473
COCc1csc(I)c1,0.736606911,2.984893853,-4,-4,2.4991,253.9262338
Cc1nc(CCO)cs1,0.669276508,2.2536397,-4.1,-4.3,0.98632,143.0404849
Nc1nc(C(F)F)cs1,0.660791345,2.938733776,-4.3,-4.5,1.6629,150.0063256
CCOc1cc(N)cs1,0.6838762,2.915768315,-4.1,-4.3,1.729,143.0404849
CSc1nc(NC2CC2)n[nH]1,0.666923235,2.951236068,-5.1,-4.7,1.1009,170.0626173
CC=Cc1ccc(I)o1,0.680595886,3.041358469,-5.2,-4.6,2.9173,233.9541628
CCCc1cc(N)cs1,0.671490385,2.632387392,-4.3,-4.4,2.2828,141.0612204
Cc1nnsc1NC1CC1,0.701529234,2.851179806,-4.7,-4.7,1.42082,155.0517183
O=C(O)c1cscc1I,0.778519933,2.889349161,-4.2,-4.3,2.0509,253.8898483
CC=CNc1ncccn1,0.666037645,2.826412072,-4.9,-4.6,1.4221,135.0796473
CC(C)SNc1ncccn1,0.701675799,2.990657408,-4.8,-4.9,1.9451,169.0673684
OCCNc1cscc1F,0.699775868,2.979484202,-4.3,-4.6,1.2914,161.0310631
Cc1nnsc1NCCO,0.663464046,2.940368817,-4.5,-4.5,0.25072,159.0466329
CCNc1cscc1N,0.659992521,2.8734877,-4.1,-4.4,1.7621,142.0564693
N#Cc1csc(CCO)n1,0.676350843,2.979864971,-4.6,-4.6,0.54958,154.0200838
CNCCc1ccsc1,0.672505229,2.214302563,-3.8,-4.3,1.51,141.0612204
CCc1sccc1I,0.659660165,2.977560778,-4,-4.1,2.9151,237.9313192
C=C(N)NCc1cscn1,0.673944577,3.012818817,-4.7,-4.6,0.6626,155.0517183
OCc1ccc(I)s1,0.742409625,2.976553785,-4.2,-4.2,1.845,239.9105838
N#Cc1csc(CCN)n1,0.673175677,2.936813323,-4.5,-4.3,0.51598,153.0360682
O=C(O)CNc1cscn1,0.677214942,2.888277608,-4.6,-4.7,0.6396,158.0149984
Oc1cccc(I)c1,0.6625946,2.103364974,-4.6,-4.9,1.9968,219.9385128
Cc1nnsc1NC(C)C,0.709211732,2.949823213,-4.7,-4.7,1.66682,157.0673684
NC(=S)Cc1ccsc1,0.659505571,2.542902469,-4.1,-4.5,1.5767,157.0019912
COCc1csc(O)c1,0.682760564,2.901877853,-4.1,-4.4,1.6001,144.0245005
CCOc1csc(N)c1,0.6838762,2.783122161,-4.1,-4.4,1.729,143.0404849
c1n[nH]c(SC2CC2)n1,0.669176712,2.955769427,-4.3,-4.3,1.0592,141.0360682
O=c1cc(I)c(F)c[nH]1,0.675765765,3.032541469,-4.7,-4.7,1.1186,238.9243399
CNC(=O)CSc1cscn1,0.718966843,2.963161627,-4.5,-4.6,0.9812,188.0078049
O=C(O)c1csc(I)c1,0.778519933,2.847545315,-4.5,-4.6,2.0509,253.8898483
Cc1cnc(CCN)s1,0.66745924,2.674435392,-4.2,-4.1,0.95272,142.0564693
CC(C)CNc1ncon1,0.685290698,2.985106729,-4.8,-4.7,1.1375,141.090212
CNCCc1csnn1,0.660997889,3.032093688,-4.3,-4.3,0.3,143.0517183
c1snnc1NC1CC1,0.670106068,3.055408481,-5,-4.5,1.1124,141.0360682
C=CNc1nc(C)cs1,0.679297112,2.936792315,-4.3,-4.2,2.00692,140.0408193
CSCNc1ncccn1,0.665684392,2.809491117,-4.3,-4.5,1.209,155.0517183
Cc1cc(OC(F)F)n[nH]1,0.686303009,2.870177059,-5,-5.1,1.31952,148.0448193
COCc1cc(O)cs1,0.682760564,2.9952397,-4,-4.3,1.6001,144.0245005
NC(=O)c1csc(I)c1,0.756098866,3.0003607,-4.7,-4.7,1.4516,252.9058327
Cc1cc(I)cc(O)n1,0.693952561,2.986987623,-4.7,-4.7,1.70022,234.9494118
CCNc1ncn(CC)n1,0.672651798,2.643324312,-4.7,-4.3,0.7298,140.1061964
CCNc1cscc1C#N,0.703617892,3.026041894,-4.4,-4.6,2.05158,152.0408193
C=C(NC)c1ccsc1,0.659903337,2.894301238,-4,-4.3,1.9382,139.0455703
CC(C)Nc1ncccn1,0.667174829,2.097686949,-4.8,-4.7,1.2969,137.0952974
O=C(O)COc1cscn1,0.701384281,2.917191345,-4.6,-4.6,0.6065,158.999014
CCc1nc(NC2CC2)no1,0.70860119,2.714587433,-5.7,-4.9,1.2063,153.090212
Cc1csc(CCN)n1,0.66745924,2.344830469,-3.9,-4,0.95272,142.0564693
CCn1cc(I)cn1,0.658193676,2.612557281,-4.1,-3.9,1.5076,221.9653962
CCCNc1n[nH]c(F)n1,0.658236803,3.005574312,-4.6,-4.7,0.7657,144.0811245
NC(=O)COc1cscn1,0.673321119,3.008501784,-4.5,-4.6,0.0072,158.0149984
CCOc1nc(O)cs1,0.680538732,3.059546776,-4.3,-4.5,1.2474,145.0197495
CCCNc1n[nH]c(SC)n1,0.673034395,2.89331448,-4.7,-4.6,1.3485,172.0782674
COc1cscc1I,0.684451508,3.060033505,-3.4,-3.8,2.3613,239.9105838
CCOc1nsc(N)n1,0.658605953,2.9983357,-4.3,-4.3,0.519,145.0309828
CCCCNc1cscn1,0.676787616,2.655139924,-4.3,-4.4,2.3551,156.0721194
Cc1cnc(NC2CC2)nn1,0.675631195,2.595698103,-5.1,-5.2,0.75432,150.0905463
CCn1ncc(I)c1C,0.679748982,2.589228007,-4.3,-4.3,1.81602,235.9810463
CCNc1nccc(C)n1,0.66552557,2.08743585,-4.9,-4.7,1.21682,137.0952974
CNc1ccncc1I,0.74816132,2.648975084,-4.1,-4.4,1.7279,233.9653962
c1cc(-c2nn[nH]n2)cs1,0.660877741,2.546463213,-5.2,-5,0.9282,152.0156671
CCNc1nc(C)cs1,0.68164894,2.225936315,-4,-4.1,1.88332,142.0564693
c1csc(Nc2nn[nH]n2)n1,0.678070867,2.855431106,-5.2,-5.1,0.3998,168.0218151
CCCCc1cnc(O)o1,0.69669596,2.965870466,-4.9,-4.8,1.7228,141.0789786
Ic1n[nH]c2cccnc12,0.715358041,2.938322417,-5.1,-5.1,1.5625,244.9449951
COc1ccnc(NSC)n1,0.691722062,3.012315473,-4.6,-4.7,1.1751,171.0466329
CNc1cscc1NC,0.657964946,3.018451392,-4,-4.1,1.8315,142.0564693
Cc1cc(CCCS)on1,0.677478433,2.755408927,-4.8,-4.4,1.84542,157.056135
CCc1nnc(I)s1,0.698033259,3.050574065,-4.6,-4.4,1.7051,239.9218172
CCCNc1ncsc1O,0.702966641,3.042108378,-4.7,-4.8,1.6706,158.0513839
CCCCc1cc(I)co1,0.750406087,3.013258927,-4.6,-4.7,3.2268,249.985463
CNc1cncc(I)c1,0.74816132,2.687434161,-4.4,-4.4,1.7279,233.9653962
COCc1ccsc1N,0.680151802,2.709549238,-4.1,-4.4,1.4767,143.0404849
C=Cc1cnc(NC)nc1,0.660860436,2.721762773,-5,-4.8,1.1613,135.0796473
CCSNc1nccc(C)n1,0.700830188,3.049271304,-4.7,-4.6,1.86502,169.0673684
CNc1noc(COC)n1,0.657101655,2.912300685,-4.6,-4.6,0.2577,143.0694765
Cc1cc(OC(C)C)n[nH]1,0.6756609,2.5972027,-4.7,-4.7,1.50532,140.094963
CCc1ccsc1I,0.659660165,2.932617421,-4.2,-4.2,2.9151,237.9313192
FCCNc1ncncn1,0.656946558,2.894029048,-4.6,-4.4,0.253,142.0654744
CCNc1nc(O)cs1,0.656849864,2.817737546,-4.2,-4.5,1.2805,144.0357339
COCCNc1cscn1,0.668495739,2.757964327,-4.1,-4.3,1.2014,158.0513839
COc1n[nH]c2ccsc12,0.677540737,2.910591913,-4.6,-4.7,1.633,154.0200838
C=CCOc1csc(N)n1,0.670669942,2.998280356,-4.5,-4.5,1.2901,156.0357339
NCCn1cc(I)cn1,0.758503212,2.790920315,-4,-4,0.4464,236.9762953
CCCNc1ncn(C)n1,0.669493444,2.689318268,-4.5,-4.3,0.637,140.1061964
Ic1n[nH]c2ccncc12,0.715358041,3.045152656,-5.1,-5.4,1.5625,244.9449951
Oc1ccccc1I,0.6625946,1.938960778,-4.4,-4.6,1.9968,219.9385128
CNc1ncc(C(C)C)cn1,0.697871149,2.347752644,-5.1,-5.4,1.6417,151.1109474
c1nc(OCC2CC2)cs1,0.665049557,2.945761144,-4.4,-4.7,1.9319,155.0404849
O=C(O)CSc1csnn1,0.687199502,3.061453433,-4.8,-4.8,0.7148,175.9714194
CCOc1csc(I)c1,0.737168546,2.929708623,-3.9,-4,2.7514,253.9262338
CSCc1nc(N)cs1,0.713718522,3.066575084,-4,-4,1.5883,160.0128903
Cc1nnsc1NCCN,0.660066699,3.028732004,-4.5,-4.5,0.21712,158.0626173
Cc1cc(CCCN)on1,0.677477063,2.379693542,-4.8,-4.7,0.87432,140.094963
CCSc1csc(N)n1,0.670838838,3.066780007,-4,-4,1.8373,160.0128903
CSCc1csc(C)n1,0.656524936,2.459936315,-3.8,-4,2.31452,159.0176413
CCCNCc1cscn1,0.670310831,2.350448147,-4.2,-4.1,1.6427,156.0721194
CSCCNc1cscn1,0.705875334,3.057456635,-3.8,-3.9,1.918,174.0285403
CCc1cnc(CN)s1,0.672732182,2.741434161,-4.3,-4.3,1.1642,142.0564693
CCc1ccc(I)o1,0.664821974,2.595816023,-4.5,-4.4,2.4466,221.9541628
COc1cc(C(C)C)[nH]n1,0.676240114,2.776023213,-4.9,-4.8,1.5417,140.094963
Cc1csc(CCO)n1,0.669276508,2.393048315,-4.2,-4.3,0.98632,143.0404849
CCc1cnc(NC)nc1,0.66242992,2.2214864,-4.5,-4.9,1.0807,137.0952974
c1nc(CNC2CC2)cs1,0.711415677,2.414536741,-4.4,-4.2,1.3951,154.0564693
Ic1cscc1NC1CC1,0.810557883,3.013110575,-4.3,-4.5,2.927,264.9422183
CSCc1nc(C)cs1,0.656524936,2.561135084,-3.8,-4,2.31452,159.0176413
CNc1ccc(I)cc1,0.733760869,1.885027392,-4.5,-4.7,2.3329,232.9701473
CSNc1nccc(C)n1,0.656278499,3.006073762,-4.6,-4.6,1.47492,155.0517183
COc1cc(I)cnn1,0.684298541,3.069045238,-4.7,-4.5,1.0898,235.9446608
Oc1csc(C2CCC2)n1,0.673440847,2.744480356,-5,-5.2,2.1162,155.0404849
CNCc1nc(C#N)cs1,0.681161902,2.93294629,-4.4,-4.5,0.73418,153.0360682
CCn1nccc1I,0.658193676,2.977076162,-3.9,-3.9,1.5076,221.9653962
CCNc1nc(C#N)cs1,0.699092577,2.853484202,-4.3,-4.5,1.44658,153.0360682
CCCNc1nsc(N)n1,0.686867211,2.893430356,-4.6,-4.5,0.9422,158.0626173
COCc1cscc1O,0.682760564,2.983841546,-4,-4.2,1.6001,144.0245005
OCCCOc1cscn1,0.66369747,2.933118173,-4.2,-4.3,0.9043,159.0353995
NCc1ccc(I)cc1,0.734436518,1.843217546,-4.7,-4.8,1.7499,232.9701473
NC(=O)CCc1cscn1,0.694828461,2.468887499,-4.4,-4.7,0.561,156.0357339
CCCNc1n[nH]c(C)n1,0.656435411,2.522170466,-5,-4.8,0.93502,140.1061964
NCCCOc1cscn1,0.661335057,2.995234884,-4.1,-4.1,0.8707,158.0513839
Cc1cc(I)cc(=O)[nH]1,0.674937033,2.857347238,-4.8,-4.7,1.28792,234.9494118
CC(C)c1csc(I)n1,0.701089565,3.0722107,-4.5,-4.5,2.8711,252.9422183
CNc1ccc(I)cn1,0.74816132,2.418658161,-4.6,-4.7,1.7279,233.9653962
CCCCc1cc(N)no1,0.693321805,2.577480905,-5.1,-4.9,1.5994,140.094963
CCCc1ccsc1N,0.671490385,2.619798469,-4.4,-4.6,2.2828,141.0612204
Cc1nc(NCCN)cs1,0.682725823,2.74083585,-4.1,-4.4,0.82212,157.0673684
Ic1n[nH]c2ccccc12,0.706572804,2.540278916,-5.6,-5.6,2.1675,243.9497462
CC(C)c1cnc(NS)nc1,0.663499618,3.016692644,-4.9,-5.2,1.8567,169.0673684
CCNc1snnc1OC,0.713743864,3.056913872,-4.4,-4.6,0.9785,159.0466329
O=c1cc(F)c(I)c[nH]1,0.675765765,3.024672238,-4.7,-4.6,1.1186,238.9243399
FCCNc1nccnn1,0.656946558,2.988187669,-5.1,-4.6,0.253,142.0654744
Nc1ncc(I)cc1F,0.693666656,2.8072357,-4.6,-4.8,1.4075,237.9403243
OCCOc1cscn1,0.673628485,3.07412209,-4.2,-4.3,0.5142,145.0197495
Fc1cnc(NC2CC2)nn1,0.676707771,2.886244009,-5,-5.4,0.585,154.0654744
Fc1cscc1NC1CC1,0.694961034,2.866227608,-4.6,-4.7,2.4615,157.0361485
CCNC(=O)c1cscn1,0.690644763,2.348500136,-4.6,-4.7,0.8928,156.0357339
c1cnc(NC2CC2)nc1,0.658266846,2.015017908,-4.7,-4.6,1.0509,135.0796473
CCc1ccc(I)s1,0.659660165,2.71231882,-4.2,-4.4,2.9151,237.9313192
Oc1cc(I)ccn1,0.671195135,3.070883855,-4.3,-4.5,1.3918,220.9337617
NCc1ccncc1I,0.739850661,2.617821238,-4.2,-4.3,1.1449,233.9653962
C=Cc1csc(CO)c1,0.664663735,3.029334469,-4.4,-4.6,1.8834,140.0295859
CCNc1ccsc1N,0.659992521,2.77351293,-4.1,-4.3,1.7621,142.0564693
CCNc1ncsc1CN,0.68877234,3.03018585,-4.2,-4.3,1.0336,157.0673684
CNc1ncc(C(F)F)cn1,0.709298073,2.730271106,-5.1,-5,1.4559,159.0608037
NCCNc1nc(F)cs1,0.684078873,3.071857828,-4.7,-4.7,0.6528,161.0422965
CCCNc1ncon1,0.654723159,2.942812623,-4.8,-4.6,0.8915,127.0745619
CCCc1cc(O)cs1,0.671917596,2.878965238,-4.4,-4.5,2.4062,142.0452359
c1cc(-c2cn[nH]n2)cs1,0.671166645,2.812881674,-4.7,-5,1.5332,151.0204182
NCCNc1cscc1F,0.698180464,3.067847389,-4.2,-4.4,1.2578,160.0470475
CNCCCc1cscn1,0.664500949,2.527478385,-3.8,-4.3,1.2951,156.0721194
Nc1ncncc1I,0.654483281,2.779095044,-4.2,-4.4,0.6634,220.9449951
Nc1ncc(I)cn1,0.654483281,2.805371267,-4.2,-4.4,0.6634,220.9449951
c1nc(CSC2CC2)cs1,0.692881162,2.924652921,-4.2,-4.3,2.5387,171.0176413
Nc1cc(F)c(I)cn1,0.693666656,2.835966469,-4.6,-4.8,1.4075,237.9403243
O=C(O)COc1cnsc1,0.701384281,3.061112224,-4.6,-4.7,0.6065,158.999014
CC(=O)Nc1snnc1C,0.655763885,2.646920649,-5,-4.9,0.80492,157.0309828
CNCCc1nc(O)cs1,0.677167206,2.871597938,-4.5,-4.5,0.6106,158.0513839
Oc1csc(NC2CC2)n1,0.680345753,2.736281455,-4.9,-4.8,1.423,156.0357339
CCOc1cscc1I,0.737168546,2.952582469,-3.8,-4.1,2.7514,253.9262338
CC(=O)SNc1ncccn1,0.67128975,3.057520932,-4.9,-4.9,1.0832,169.0309828
