smiles,qed,sas,gsk3b_score,jnk3_score,logP,weight
Nc1ccc2[nH]nc(Nc3n[nH]c4nc[nH]c(=O)c34)c2c1,0.344971597,3.064826975,-8.5,-8,0.8483,282.0977569
Ic1ccc2cc(Nc3cc(-c4ccc5ccccc5c4)[nH]n3)ccc2c1,0.292671062,2.29428,-9.8,-9.4,6.7313,461.0388955
O=C(Nc1cncc(-c2cnc3[nH]ccc3c2)c1)c1cnc2c(F)ccc(F)c2c1,0.458896201,2.650075094,-10.1,-10,4.7036,401.1088165
O=c1[nH]cnc2cc(Nc3cncc(-c4cnc5[nH]ccc5c4)c3)cc(Cl)c12,0.428592433,2.866557451,-9.7,-9.1,4.2584,388.0839367
O=C(c1cc(F)cc2c(=O)c3cc(F)ccc3[nH]c12)N1CC=C(c2cncc3ccccc23)CC1,0.35190776,2.77894011,-11.1,-10.6,5.4372,467.1445333
O=C(Nc1nnc(-c2ccc3ccccc3c2)o1)N1CCCc2cc(-c3ccccc3)ccc21,0.341471484,2.348345144,-11.1,-10.6,6.5415,446.1742759
NCc1ccc2c(Nc3ccc4c(C5=CCNCC5)c[nH]c4c3)n[nH]c2c1,0.385008608,2.870151923,-9.4,-8.7,3.6232,358.1905947
C[C@H]1COc2c(F)c(F)cc3c(=O)c(C(=O)Oc4c5ccccc5c(C=O)c5ccccc45)cn1c23,0.14457079,3.36137466,-10.9,-11,5.5712,485.1074791
Brc1ccc2c(Nc3cc4cn[nH]c4s3)n[nH]c2n1,0.490453713,3.445889328,-7.7,-7.1,3.4018,333.9636273
Fc1cccc2cc(Nc3ccccc3-c3ccc4ccccc4c3)ncc12,0.375033433,2.119570288,-9.3,-9.9,6.9377,364.1375768
O=C(Nc1ccc2cn[nH]c(=O)c2c1)Nc1cccc(-c2ccc3ccccc3c2)n1,0.400586492,2.305618158,-11.2,-10.9,4.7823,407.1382248
c1cc2cc(Nc3cc4cn[nH]c4s3)ncc2[nH]1,0.514707661,3.267915426,-7.4,-7.2,3.2443,255.0578663
c1cc(Nc2cc(-c3ccc4ccccc4c3)[nH]n2)cc(-c2ccc3c(c2)CCN3)c1,0.317023527,2.419902215,-10.5,-10.4,6.6085,402.1844467
O=C(c1ccccc1Nc1cncc(-c2cnc3[nH]ccc3c2)c1)c1cccc2ccccc12,0.290860183,2.477476294,-10.6,-9.5,6.7527,440.1637113
Brc1cc2c(Nc3cnc4[nH]cc(Cc5ccccc5)c4c3)n[nH]c2cn1,0.360955134,2.747668846,-9.8,-9.5,4.9311,418.0541566
Cn1cc(C2=C(c3cccc(NC(=O)C(=O)N[C@H]4CCCC[C@H]4N)c3)C(=O)NC2=O)c2ccccc21,0.331450525,3.404755317,-10.1,-9.1,2.0701,485.2063043
O=C(O)c1cc(F)cc2c(=O)c3cc(N4C(=O)CN=C(c5ccccc5)c5cc(Br)ccc54)ccc3[nH]c12,0.268002343,2.803538531,-10.1,-9.9,5.7968,569.0386463
Nc1ccc(Cc2ccc3c(c2)CCN3C(=O)NCc2ccc(-c3ccc4ccccc4c3)cc2)cc1,0.26575746,2.302755025,-10.6,-10.3,6.9521,483.2310625
O=C(O)c1cc(F)cc2c(=O)c3cc(Nc4cncc(-c5cnc6[nH]ccc6c5)c4)ccc3[nH]c12,0.265404004,2.849988701,-11.2,-10.7,5.2005,465.1237176
CC1COc2c(F)c(Nc3nc(-c4ccc5c(c4)Cc4ccccc4-5)cs3)cc3c(=O)c(C(=O)O)cn1c23,0.283442132,3.417492249,-10.8,-11.2,6.2305,525.1158553
O=C1Cc2cc(CNC(=O)N3CCCc4cc(-c5ccccc5)ccc43)ccc2N1,0.683062432,2.305643264,-10.4,-9.5,4.5106,397.179027
Cn1cc(C2=C(c3cccc(NC(=O)Nc4ccncc4-c4ccncc4)c3)C(=O)NC2=O)c2ccccc21,0.290036138,2.724162217,-10.5,-10,4.8465,514.1753386
O=S(=O)(Cl)c1ccc(Nc2ccc(Cl)cc2-c2cccc3ccccc23)c2cnccc12,0.273389677,2.430215254,-9.6,-9.2,7.3795,478.0309541
O=C(NCc1ccc(-c2ccc3c(c2)CCCO3)cc1)Nc1cc(-c2ccc3ccccc3c2)[nH]n1,0.270457451,2.446133529,-10.9,-11,6.5436,474.2055761
CC(NC(=O)Nc1cc(-c2ccc3ccccc3c2)[nH]n1)c1ccc2[nH]ncc2c1,0.344384562,2.909890041,-10.2,-9.6,4.9889,396.1698593
O=Cc1c[nH]c2nccc(Nc3n[nH]c4nc(Br)ccc34)c12,0.386409993,3.093860617,-8.1,-8.1,3.1528,356.002121
Brc1cnc(Nc2cccc(-c3cn[nH]c3)c2)cc1-c1ccccn1,0.510772149,2.50922213,-8.9,-8.1,5.0398,391.0432575
O=C(c1ccc(Nc2ccc3c(c2)C(=O)c2ccccc2C3=O)cc1)c1cnc2ccccc2c1,0.331491782,2.244418588,-11.2,-11.1,5.9848,454.1317424
O=C(Nc1ccccc1-c1ccc2ccccc2c1)c1ccc2c(c1)-c1ccccc1C2,0.324445573,2.032217289,-12.3,-10.3,7.3303,411.1623143
O=C(Nc1nnc(-c2ccc3ccccc3c2)o1)Nc1n[nH]c2nc(Br)ccc12,0.346495688,2.676871075,-10.6,-9.9,4.5676,449.0235847
Brc1ccc2cc(NCc3ccc(-c4ccc5ccccc5c4)cc3)ncc2c1,0.31503609,2.081028249,-10.6,-9.9,7.4296,438.0731607
Cn1cc(C2=C(c3cccc(NC(=O)C(=O)N4CCc5[nH]c6ccc(C(=O)O)cc6c5C4)c3)C(=O)NC2=O)c2ccccc21,0.186662061,2.99118811,-11.3,-11.3,3.4484,587.1804835
Nc1cc(Nc2n[nH]c3ccc(C(F)(F)F)cc23)c2cn[nH]c2c1,0.420083201,2.714106333,-8.7,-8.7,3.7838,332.099729
Brc1ccc2[nH]ncc2c1Nc1cc(-c2cccnc2)ccn1,0.559309186,2.565460135,-8.8,-8.3,4.526,365.0276075
Clc1c(Nc2cc(-c3cccnc3)ccn2)ccc2[nH]ncc12,0.586016993,2.466568054,-8.8,-8.4,4.4169,321.0781231
Brc1cc2cnccc2cc1Nc1cc(-c2ccc3ccccc3c2)[nH]n1,0.364493022,2.472080193,-10.1,-9.4,6.2842,414.0480086
O=c1[nH]ccc2cc(N3CC=C(c4cncc5ccccc45)CC3)cc(F)c12,0.564025755,2.795955575,-10.2,-9.7,4.5091,371.1433904
FC(F)(F)c1cc2cc(Nc3ccccc3-c3ccc4ccccc4c3)ccc2cn1,0.325511803,2.281862165,-10.3,-9.5,7.8174,414.1343832
O=C(Nc1nc(-c2ccc3c(c2)Cc2ccccc2-3)cs1)N1CCc2ccccc2-c2ccccc21,0.273832552,2.477521595,-11.5,-11.2,7.6429,485.1561834
O=C(CN1CCc2cc(-c3cccc(F)c3)ccc21)c1ccc2c(c1)-c1ccccc1C2,0.318278239,2.319699058,-11.1,-10.4,6.3093,419.1685425
c1ccc2c(-c3nnc(Nc4ccc5[nH]ncc5c4)o3)cccc2c1,0.509487992,2.318530005,-9.8,-9,4.5097,327.11201
c1ccc2c(c1)cc(Nc1cc3cc[nH]c3cn1)c1ncccc12,0.450693258,2.416215496,-9.7,-9.3,5.0079,310.1218464
O=C(Nc1nc(-c2cccc3ccccc23)cs1)c1cccc(Nc2nc3ccccc3c(=O)[nH]2)c1,0.267895609,2.390470172,-12.2,-11,6.1957,489.1259458
O=C(O)c1cccc(N(C(=O)Nc2nc(-c3cccc4ccccc34)cs2)c2nc3ccccc3c(=O)[nH]2)c1,0.239656119,2.73235718,-11.2,-10.5,6.2682,533.1157751
O=c1ccc2c(Nc3ccccc3-c3ccc4ccccc4c3)ccc(F)c2[nH]1,0.389576664,2.209613881,-9.8,-9.9,6.231,380.1324914
O=C(NCc1ccc2c(c1)N(C(=O)/C=C/c1ccc3ncccc3c1)CCO2)c1ccccc1Cc1nc2ccccc2c(=O)[nH]1,0.233888224,2.9231013,-11.6,-11.2,5.4309,607.2219544
O=C(Cc1ccc2[nH]ncc2c1)Nc1ccc(F)c2cnccc12,0.607352724,2.318441375,-9.2,-8.6,3.4314,320.1073393
Nc1n[nH]c2cnc(Nc3ccc(Cc4nnc5ccccn45)cc3)cc12,0.456639637,2.623418654,-9.5,-8.7,2.9172,356.1497925
CC(Cc1ccc2[nH]ncc2c1)Nc1nccc(-c2ccccc2)n1,0.579229453,2.711780503,-8.7,-8.5,4.063,329.1640456
O=C1Cc2cc(F)ccc2N1c1ccc2c(c1)Cc1ccccc1-2,0.501835097,2.250268848,-9.7,-9.7,4.6177,315.1059423
Cc1c[nH]c2nccc(Nc3cc(-c4cccnc4)ccn3)c12,0.598317651,2.510435927,-8.6,-8.4,4.07192,301.1327455
O=C(O)c1ccc(Nc2ccc(Cl)cc2-c2cccc3ccccc23)c2ccncc12,0.321270219,2.289045242,-10,-8.6,7.1502,424.0978555
O=C(c1ccccc1Nc1ccc(-c2ccccc2)cn1)c1cccc2ccccc12,0.327128461,1.997410894,-9.8,-8.9,6.8764,400.1575633
O=C1Cc2cc(C3CCCCC3)ccc2N1c1ccc2ccc3cccnc3c2n1,0.38941733,2.566610593,-10.9,-10.4,6.0515,393.1841124
Cc1ccc(-c2cccc(Cl)c2)cc1NC(=O)Nc1cc2ccccc2cn1,0.420764742,2.032010963,-10.3,-9.3,6.50762,387.1138399
O=Cc1c[nH]c2nccc(Nc3cc(Br)c4cn[nH]c4c3)c12,0.488069095,2.95278129,-7.7,-7.8,3.7578,355.006872
c1cc(Nc2cc3cc[nH]c3cn2)c2cn[nH]c2c1,0.51071229,2.525582547,-7.9,-8,3.1828,249.1014454
Brc1ccc2[nH]ncc2c1N1CC=C(c2cncc3ccccc23)CC1,0.500735375,2.834213505,-9.1,-8.9,5.1673,404.0636586
N#Cc1cc(Nc2cc3cc[nH]c3cn2)ncc1Br,0.760340292,2.856820132,-7.6,-7.4,3.33568,312.9963074
Clc1cccc2c(Nc3cnc4[nH]cc(Cc5ccccc5)c4c3)n[nH]c12,0.393280016,2.530194231,-9.9,-9.4,5.427,373.1094232
Fc1cccc2c(N3CC=C(c4ccnc5[nH]ccc45)CC3)nccc12,0.580378764,2.707864654,-9.3,-9.3,4.5439,344.1437248
Cn1cc(C2=C(c3cccc(NC(=O)c4c(O)c5ccccc5n(C)c4=O)c3)C(=O)NC2=O)c2ccccc21,0.314233284,2.680816014,-10.9,-9.2,3.5553,518.1590198
O=C(c1cc2c(=O)[nH]c3ccccc3c2s1)N1C(=O)c2cccc3cccc1c23,0.417771042,2.537858328,-10.6,-10.7,4.6966,396.0568632
Fc1cc2nn[nH]c2cc1Nc1ncnc2[nH]c3cc(Br)ccc3c12,0.417503856,3.033664303,-9.4,-9,4.0276,397.0086836
Fc1cccc(-c2ccc3c(c2)CCN3c2ncc(Cl)c(-c3c[nH]c4ccccc34)n2)c1,0.33608719,2.515906423,-10.9,-10.3,6.7786,440.1204025
Cn1cc(C2=C(c3cccc(NC(=O)Nc4cccc5cnc(Cl)cc45)c3)C(=O)NC2=O)c2ccccc21,0.211596567,2.709996094,-11.1,-9.9,5.5911,521.1254672
Brc1cncc2c(Nc3cc(-c4ccc5ccccc5c4)[nH]n3)cccc12,0.364493022,2.436945577,-9.8,-9.6,6.2842,414.0480086
Cc1ccc(-c2cccc(Cl)c2)cc1NC(=O)Nc1ccc(F)c2cnccc12,0.400733369,2.157769092,-9.9,-9,6.64672,405.1044181
Clc1ccc(N2CC=C(c3cncc4ccccc34)CC2)c2cnccc12,0.450235116,2.617437116,-9.4,-9.1,5.7301,371.1189253
O=C(Nc1cnc2[nH]ccc2c1)C(=O)Nc1n[nH]c2ccc(C(F)(F)F)cc12,0.39513833,2.707298489,-9.3,-8.5,3.0352,388.0895583
c1ccc2c(c1)Cc1cc(Nc3n[nH]c4ccccc34)ccc1-2,0.487429476,2.1361478,-9.6,-9.3,4.8777,297.1265975
O=C1Cc2cc(C3CCCCC3)ccc2N1c1nccc2ccccc12,0.615620437,2.416210708,-9.1,-9.7,5.5033,342.1732133
CC(Cc1ccc2[nH]ncc2c1)Nc1ncc(Cl)c(-c2c[nH]c3ccccc23)n1,0.377153634,3.073573965,-8.9,-9.4,5.1977,402.1359723
O=C(NCc1ccc(-c2ccc3ccccc3c2)cc1)c1cccc(Nc2nc3ccccc3c(=O)[nH]2)c1,0.248440484,2.290740362,-11.6,-11.5,6.4169,496.189926
Clc1c(Nc2ccnc3[nH]ccc23)ccc2[nH]ncc12,0.523419788,2.680075117,-7.9,-8.1,3.8362,283.062473
O=C1C(=O)N(c2c[nH]c3cccnc23)c2ccc(-c3ccccc3)cc21,0.559419106,2.398432526,-9.2,-9.7,4.0909,339.1007767
O=C(Nc1cc(-c2ccc3ccccc3c2)[nH]n1)C(=O)N1C(=O)Cc2cc(C3CCCCC3)ccc21,0.389113692,2.82386612,-10.8,-11.4,5.332,478.2004907
Brc1cc2c(Nc3cccc4c3-c3ccccc3CO4)n[nH]c2cn1,0.469542344,2.770383045,-9,-9.1,5.0234,392.0272731
Cc1nccc(-n2ccc(Nc3cnc4[nH]cc(Cc5ccccc5)c4c3)n2)n1,0.477023072,2.670864743,-9.3,-9.5,4.18142,381.1701936
O=C1CCNc2ncccc2N1C(=O)c1cc(F)cc2c(=O)c3cc(F)ccc3[nH]c12,0.363841526,2.900903354,-10.6,-9.3,3.3435,420.1033967
O=C(Nc1ccc2[nH]nc(Br)c2c1)Nc1n[nH]c2nc[nH]c(=O)c12,0.355843824,3.067766583,-9.1,-9.3,1.929,388.0031836
Nc1c(Nc2ncc(Cl)c(-c3c[nH]c4ccccc34)n2)ccc2cc(Br)ccc12,0.265535645,2.550545691,-9.5,-9.5,6.5198,463.0199353
Cc1c[nH]c2nccc(Nc3nnc(-c4ccc5ccccc5c4)o3)c12,0.491746566,2.528280039,-9.1,-9,4.81812,341.1276601
O=C(Nc1nccc2ccc([N+](=O)[O-])cc12)c1cccc2c1oc1ccccc12,0.336871136,2.323155581,-10.3,-9.7,5.2947,383.0906059
Brc1cc2c(Nc3ccc4[nH]ncc4c3)n[nH]c2cn1,0.492705209,2.788302758,-8.1,-7.9,3.3403,328.0072064
Cc1ccc(Nc2ncccc2NC(=O)Nc2nc(-c3ccc4c(c3)Cc3ccccc3-4)cs2)cc1,0.234619569,2.45343621,-9.7,-10.1,7.47232,489.1623314
c1cc2cc(Nc3ccc(Cc4ccc5c(c4)CCN5)cc3)ncc2[nH]1,0.496889693,2.490577418,-9.2,-8.5,4.8653,340.1687966
Clc1ccc2cc(Nc3cc(-c4ccc5ccccc5c4)[nH]n3)ccc2c1,0.367678662,2.15106577,-10.2,-9.4,6.7801,369.1032752
Fc1cccc(-c2ccc(Nc3n[nH]c4nccc(Cl)c34)cc2F)c1,0.523408067,2.462008928,-8.8,-9.4,5.3001,356.0640305
O=c1[nH][nH]c2ncc(N3CCc4cc(-c5cccc(F)c5)ccc43)cc12,0.580899199,2.622310259,-10.1,-9.4,3.7515,346.1229893
Cc1c(Nc2cc3ccccc3cn2)cnc2[nH]ccc12,0.576706434,2.490986052,-8.3,-8.2,4.16312,274.1218464
NCc1ccc2c(Nc3ccnc4[nH]ccc34)n[nH]c2c1,0.463034947,2.62847166,-7.8,-7.7,2.6415,278.1279944
O=C(Nc1ccc(-c2ccnc3ccccc23)cc1)Nc1cc(Br)c2cn[nH]c2c1,0.301815849,2.328800956,-9.5,-9.4,6.1846,457.0538222
Nc1cc(Nc2ccc(-c3ccnc4ccccc34)cc2)c2cn[nH]c2c1,0.394930078,2.298269423,-9.4,-9.5,5.1039,351.1483955
O=C(O)c1cnc2c(Nc3cncc(-c4cnc5[nH]ccc5c4)c3)ccc(F)c2c1,0.402754918,2.72707085,-10,-9.2,4.754,399.1131529
O=C(O)c1cnc2c(F)ccc(Nc3cncc(-c4cnc5[nH]ccc5c4)c3)c2c1,0.402754918,2.700635836,-10,-9.2,4.754,399.1131529
Cc1sc(NC(=O)Nc2n[nH]c3ccncc23)nc1-c1c[nH]c2ncccc12,0.371706704,2.820106982,-9.8,-9.5,3.91012,390.1011281
C[C@@H](Nc1cc2c(C3=CCNCC3)c[nH]c2cc1F)c1cccc2cnccc12,0.439817489,3.266346635,-9.4,-8.9,5.405,386.190675
O=c1[nH]cnc2cc(Cl)cc(Nc3cncc(-c4cnc5[nH]ccc5c4)c3)c12,0.428592433,2.841364205,-9.8,-9,4.2584,388.0839367
Fc1ccc2c(C3=CCN(c4cc(I)cc5ccccc45)CC3)c[nH]c2c1,0.339566754,2.643303177,-9.4,-9.3,6.3585,468.0498748
O=c1cc(Nc2cc3cn[nH]c3cn2)c2cccnc2[nH]1,0.520075771,2.754089774,-8.4,-8,1.938,278.0916089
Cc1ccc2[nH]c(=O)ccc2c1Nc1cncc(-c2cnc3[nH]ccc3c2)c1,0.437562711,2.666488971,-9.7,-9.7,4.51842,367.1433102
Nc1ccc(Nc2ncnc3[nH]c4cc(Br)ccc4c23)c2ccncc12,0.368895986,2.659394267,-9,-8.9,4.7476,404.0385065
Nc1ccc(Nc2ncnc3[nH]c4cc(Br)ccc4c23)c2cnccc12,0.368895986,2.680280097,-9.2,-8.8,4.7476,404.0385065
C[C@H]1COc2c(C3(N)CC3)c(Nc3cncc(-c4cnc5[nH]ccc5c4)c3)cc3c(=O)c(C(=O)O)cn1c23,0.274886877,3.795831345,-10.6,-9.5,4.2828,508.1859032
O=[N+]([O-])c1cccc(-c2ccnc(Nc3cc(Br)cc4[nH]ncc34)n2)c1,0.379768052,2.507799336,-8.9,-8.6,4.4342,410.0126857
O=[N+]([O-])c1cccc(-c2ccnc(Nc3cc(F)c4cn[nH]c4c3)n2)c1,0.427695459,2.50907872,-9.2,-8.9,3.8108,350.0927518
Brc1c(Nc2ccc(-c3ccnc4ccccc34)cc2)ccc2ccncc12,0.339082383,2.245016442,-9.4,-10.4,6.9561,425.0527596
FC(F)(F)c1ccc2c(Nc3cnc4[nH]cc(Cc5ccccc5)c4c3)n[nH]c2n1,0.382357783,2.734466606,-9.7,-9.6,5.1874,408.1310291
Fc1cc(N2CC=C(c3cncc4ccccc34)CC2)c2ccncc2c1,0.493815671,2.631362885,-9.1,-9.2,5.2158,355.1484758
Brc1cc(Nc2ccc3[nH]ncc3c2)cc2[nH]ncc12,0.521843395,2.602860515,-8,-8.2,3.9453,327.0119574
O=c1[nH][nH]c2ncc(N3CCC(c4c[nH]c5ccccc45)CC3)cc12,0.527113097,2.649120675,-9.8,-9.1,3.1165,333.1589602
Clc1cc2cccc(Nc3ccccc3-c3ccc4ccccc4c3)c2cn1,0.328534998,2.126908749,-9.3,-9.4,7.452,380.1080262
Cn1cc(-c2cncc(Nc3ncnc4[nH]nc(I)c34)c2)cn1,0.496652065,3.058496145,-8,-8.1,2.4966,418.0151404
O=c1[nH]cnc2[nH]nc(Nc3ccc4[nH]ncc4c3)c12,0.436242011,2.89128294,-8.1,-8.1,1.2661,267.0868579
c1ccc2cc(Nc3ccc4cn[nH]c4n3)ncc2c1,0.580969507,2.430458103,-8.4,-8.2,3.2497,261.1014454
Cc1[nH]c2ccc(Nc3cncc(-c4cnc5[nH]ccc5c4)c3)cc2c1C=O,0.391443361,2.781496475,-9.8,-8.8,4.97072,367.1433102
O=C1NCCc2cc(F)c(Nc3ccc(-n4c(=S)[nH]c5ccccc5c4=O)cc3)cc21,0.423822943,2.551465501,-10.7,-9.7,4.21689,432.105625
C[C@H]1COc2c(C3(NC(=O)NNc4ccc5[nH]ncc5c4)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,0.268822225,3.748314864,-10.1,-10.2,2.9839,492.155746
O=C(CN1CC=C(c2c[nH]c3ncccc23)CC1)c1ccc2c(c1)-c1ccccc1C2,0.423020674,2.627365744,-10.3,-9.9,5.1061,405.1841124
Clc1cnc(N2CC=C(c3c[nH]c4ncccc34)CC2)nc1-c1c[nH]c2ccccc12,0.402104072,2.835924941,-10.4,-9.3,5.4483,426.1359723
