smiles,qed,sas,weight,logP,gsk3b,jnk3
c1cc(cc(C2=C(c3ccnc(NC4CCOCC4)n3)C(NC2=O)=O)c1)Br,0.725674336,2.693876849,429.274,2.3972,-9.2,-8.9
c1cnccc1C1C(NC(=O)C=1NCc1ccc(cc1)F)=O,0.836414193,2.301631049,297.289,1.378,-7.3,-7.8
c1(n[nH]c2ncc(cc12)C1CCCCC1)NC(CCC)=O,0.89894892,2.479064301,286.379,3.7442,-8.1,-7.9
c1c(C2=C(c3ccnc(NC4CC4)c3)C(NC2=O)=O)ccc(c1)F,0.847539882,2.386561311,323.327,2.3622,-8.3,-7.9
c12c(cc(cc2)Nc2nccc(n2)-c2ccncc2)n(c(=O)[nH]1)C(C)C,0.59023317,2.477784566,346.394,3.5061,-8.8,-8.5
c1(F)c(C2=C(C(=O)NC2=O)c2ccncc2)cc(NC2CCCN(C)CC2)nc1,0.771147506,3.159386343,395.438,2.0791,-9.6,-7.9
C1(=C(c2cccc(c2)C(=O)N)C(=O)NC1=O)c1ccnc(NC2CCC(CC2)O)c1,0.555561121,2.660313309,406.442,1.4631,-9.9,-9.8
c1ccc(cc1Nc1cc(ccn1)-c1cnc(N)cc1)N1CCC(NC)CC1,0.632521121,2.405970209,374.492,3.6576,-9.3,-8.9
c12c(C3C(NC(C=3c3ccc(cc3)F)=O)=O)cn(CCO)c1cccc2,0.709727561,2.341092067,350.349,2.3399,-8.6,-8.4
c12ccc(-c3cc(Nc4ccccc4)ccn3)cc1CCCN2C(CC)=O,0.69949506,2.194619438,357.457,5.1814,-8.9,-8.7
C1(NC(=O)C(S1)=Cc1ccc(cc1)F)=NC1CCCc2ccccc12,0.810764032,3.242720166,352.434,4.4632,-9.1,-8.6
c1(cc(C2C(NC(=O)C=2c2ccc(F)cc2)=O)cc(c1)CO)C,0.854051835,2.282082561,311.312,2.19362,-9.2,-7.9
c1c(OCC)cc(C2C(NC(C=2O)=O)=O)cc1-c1ccncc1,0.844024879,2.432479418,310.309,2.0728,-8.5,-8.1
C1(C(Nc2nccc(c2)C2=C(C(NC2=O)=O)c2cc(ccc2)Cl)CCC1)O,0.705840268,3.30249705,383.835,2.6275,-9.5,-8.5
c1c(CN(C2CC2)C)ccc(c1)C1=C(c2ccc(F)cc2)C(=O)NC1=O,0.84368021,2.255081334,350.393,2.9871,-8.3,-8
O=C1NC(=O)C(c2cn(C)c3ccccc32)=C1c1cc(Cl)ccc1,0.72915021,2.273399546,336.778,3.3989,-8.5,-8.3
C1(=O)C(c2ccc(Cl)cc2)=C(C(=O)N1)c1ccnc(NC2CCOCC2)c1,0.793382813,2.530676849,383.835,2.8931,-8.8,-9
c1ncc(c(C2C(=O)NC(C=2c2ccc(cc2)Cl)=O)c1)C1CC1,0.88212169,2.402109477,324.767,3.1796,-7.8,-7.9
c1(cnc(NC2CCOCC2)nc1)C1=CC(=O)NC1=O,0.759731148,2.890346565,274.28,0.1073,-7.3,-7.5
c1cc(cc(c1)Cl)C1C(NC(=O)C=1c1ccnc(NCC2CCOCC2)c1)=O,0.757454076,2.607116946,397.862,3.1407,-8.7,-8.7
c12c(c(NC3CCC(CC3)O)ncn1)cc(-c1cc(ccc1)CO)cc2,0.671784475,2.297220785,349.434,3.5045,-8.8,-8.8
Cc1oc(cn1)C1C(NC(=O)C=1c1ccnc(NC2CCOCC2)c1)=O,0.802127014,2.949722413,354.366,1.53612,-8.5,-8.5
C1(NC(C(c2ccccc2)=C1c1cc(ncc1)NC1CC1)=O)=O,0.849778607,2.321965647,305.337,2.2231,-8.1,-7.6
c1c2c(cnc1NC1CCOCC1)ccc(n2C)=O,0.888188578,2.48055216,259.309,1.5244,-7.6,-7.4
c1c(F)c(NC2CCC2)ncc1-c1n[nH]c(n1-c1cc2c(cccc2)cc1)=O,0.567600231,2.530041733,375.407,3.8793,-9.6,-9
c1c(-c2cc(NC3CCCC3)ncc2)n[nH]c1-c1cc(ncc1)Nc1cc(ccc1)F,0.373211174,2.564279958,414.488,5.7709,-9.8,-9.5
c1(NCC2OCCC2)nc(ccn1)-c1cc(=O)n(C)nc1C1CCOCC1,0.85555971,3.297806832,371.441,1.7222,-8.3,-7.5
O=C(c1cc(ccc1)C1C(NC(=O)C=1c1cccc(c1)F)=O)N,0.841772581,2.197785446,310.284,1.4918,-8.7,-8.3
c1c(Br)ccc(Nc2nncc3cc(n(c32)C)C(=O)NCCCCO)c1,0.513473316,2.572077722,418.295,2.9767,-8,-7.1
C1(=O)C(c2cc(ncc2)NC2CCCC2)=C(C(N1)=O)c1c(cccc1)F,0.830425976,2.436908874,351.381,3.1424,-9,-8.4
c1cc(C2C(=O)NC(C=2c2ccnc(c2)NC2CC2)=O)cc(O)c1,0.748556932,2.511602261,321.336,1.9287,-8.4,-8.1
n1(c2ncccc2c(C2=C(c3c4c(ccc(c4)Cl)n(C)c3)C(NC2=O)=O)c1)C,0.533888736,2.668236561,390.83,3.2856,-9.2,-8.3
c1(OC)cc(C2C(NC(=O)C=2c2ccnc(c2)NC2CCC2)=O)ccc1O,0.703342243,2.538650861,365.389,2.3274,-9,-8.4
c1c(OC)cc(C2C(=O)NC(=O)C=2c2ccnc(NC3CCOCC3)c2)cc1OC,0.706297347,2.671677611,409.442,2.2569,-9.1,-8.4
c1(NC(CC)=O)ccc(cc1)C1=C(C(=O)NC1=O)c1ccccc1,0.850363458,2.010864252,320.348,2.6023,-8.5,-7.9
C1Cc2c(cc(C(N)=O)nc2)CCN1C(C=Cc1cc(ccc1)Cl)=O,0.859154454,2.424434335,355.825,2.4745,-8.6,-8.5
C1(C(c2ccc(cc2)F)C(=O)NC=1c1ccnc(NC2CCCCC2)c1)C,0.831851169,3.05840063,365.452,4.6099,-9.1,-8.7
c1(C2C(=O)NC(C=2c2cc(ccc2)OC)=O)ccc(F)cc1,0.885129722,2.030741968,297.285,2.4015,-8.1,-7.8
n1c(c(c(Nc2cccc3c2cccc3)o1)C#N)-c1ccnc(NC2CCOC2)c1,0.503504229,3.199567596,397.438,4.70588,-10.1,-9
c1(ccnc(NC2CN(C2)C(NC(C)C)=O)c1)C1=C(c2ccncc2)C(=O)NC1=O,0.643962515,2.780147659,406.446,1.2579,-9,-8.2
Fc1cc(NC2CCOCC2)ncc1C1=C(C(=O)NC1=O)c1ccc(cc1)Cl,0.769628572,2.662242929,401.825,3.0322,-8.9,-8.6
C(C1CCC1)(=O)Nc1c(C2C(NC(=O)C=2c2ccc(F)cc2)=O)cccn1,0.815250999,2.399779403,365.364,2.5265,-8.9,-8
c1c(F)cc2CCN(C(=O)Nc3ncccc3)Cc2c1,0.866482131,2.036253726,271.295,2.8109,-7.9,-7.7
Fc1cccc(c1F)C1=C(C(=O)NC1=O)Nc1cc(-c2ccncc2)ccc1,0.682951928,2.468393314,377.35,3.5064,-9.1,-9
n1cc(ccc1-c1ccnc(c1)NC)NC(C1CC1)=O,0.893851834,2.114597577,268.32,2.5338,-6.8,-7.2
c1(cccc(c1)C1=C(C(NC1=O)=O)c1ccnc(NC2CCOCC2)c1)Cl,0.793382813,2.579779216,383.835,2.8931,-9,-9
c1(nc(NC2CCOCC2)cc(-c2nccc(c2)C(N)=O)c1)C1CC1,0.874647454,2.61927239,338.411,2.7108,-8.6,-8.1
n1ccc(C2=C(c3cc(F)ccc3F)C(=O)NC2=O)c(NC2CCC2)n1,0.821466355,2.781965422,356.332,2.2864,-9.5,-8.2
c1ccccc1C1C(NC(C=1c1c2c(n(C)c1)cccc2)=O)=O,0.74005506,2.152761451,302.333,2.7455,-8.5,-8.1
C(C1=C(c2cn(c3ccccc32)C)C(NC1=O)=O)c1ccc(Cl)cc1,0.735100001,2.415522092,350.805,3.4844,-8.2,-8.1
c1c(NC(=O)C)cccc1OC1CCC(CC1)NC(=O)Cc1ccc(cc1)F,0.795349941,2.055141006,384.451,3.833,-9,-8.2
c1(cc2c(n[nH]c2cc1)NC1CCCC1)-c1ccc2c(ccc(c2)F)c1,0.486875664,2.25735936,345.421,5.8767,-9.8,-10.2
C1C(C(Nc2nccc(c2)-c2nnn(C(C)C)c2)=O)CCC1,0.941404746,2.413842039,299.378,3.0497,-8.1,-7.2
c1cc(ccc1Cl)C1C(=O)NC(C=1c1ccnc(NC2COCC2)c1)=O,0.809301547,2.993536253,369.808,2.503,-8.5,-8.7
c1cc(Nc2nccc(-c3[nH]c(nc3-c3ccccc3)C)c2)ncc1,0.575331351,2.316421922,327.391,4.58572,-9.2,-8.6
c1(C2=C(c3ccnc(NC4CCOCC4)c3)C(=O)NC2=O)cc(ccc1)F,0.81135624,2.588614128,367.38,2.3788,-9.2,-8.9
C1(C(Nc2cc(C3C(=O)NC(=O)C=3c3ccccc3Cl)ccn2)=O)CC1,0.813018404,2.361901565,367.792,2.6507,-8.8,-8.2
c12c(ccc(O)c1)cc(C1C(Nc3ccccc13)=O)c(OC)c2,0.759723189,2.740647739,305.333,3.638,-8.3,-8.2
c1(c(F)cccc1)C1=C(c2cc(NC3CCOCC3)ncc2)C(=O)NC1=O,0.81135624,2.570143713,367.38,2.3788,-8.9,-8.9
c1ccc(cc1)C1=C(c2ccc(cc2)Cl)C(=O)NC1=O,0.861575163,1.908418629,283.714,2.9072,-8.1,-7.7
c1(-c2ccnc(NC3CCC(N)CC3)c2)ccnc(c1)NC1CCOCC1,0.750820711,2.613480577,367.497,3.4163,-8.5,-7.7
c1c(F)ccc(c1)C1=C(c2sc(C)cc2)C(=O)NC1=O,0.863299547,2.348875411,287.315,2.76282,-7.4,-7.3
Fc1c(cc(cc1)C1C(=O)NC(C=1c1cc(NC2CCCC2)ncc1)=O)F,0.811721282,2.519884803,369.371,3.2815,-9.1,-9.1
C1=CCCCc2c1cc(-c1c([nH]nc1-c1ccnc(NC3CCCC3)c1)O)cc2,0.549629547,2.970931827,386.499,5.5483,-9.9,-9.4
n1[nH]c2c(cc(-c3cc(NC4CCC4)ncc3)cn2)c1NC1CCC1,0.658326357,2.631321626,334.427,3.9487,-8.9,-8.3
c1(ccc(cc1)C1=C(OCCO)C(=O)NC1=O)OC,0.734372423,2.414363602,263.249,0.0716,-6.6,-6.4
C1CC(CCC1N1CCOCC1)C(N)=O,0.718892242,2.146729183,212.293,0.3627,-5.8,-5.9
n1c(NC2CCCNC2)nccc1-c1n[nH]c(n1-c1cc(F)c(F)cc1)=O,0.64023145,3.158568678,373.367,1.4597,-8.9,-8.8
c1(C2=C(c3ccc(F)c(c3)F)C(NC2=O)=O)cn(C)c2ccccc12,0.730443395,2.353376291,338.313,3.0237,-8.6,-8.7
c1ccc(c(F)c1Cl)C1=C(C(NC1=O)=O)c1ccnc(c1)NC1CCOCC1,0.769628572,2.727046391,401.825,3.0322,-9.3,-9.2
C1CC(Nc2c3c(n[nH]2)ncc(c3)Cl)CCN1C(=O)NC(C)C,0.803821214,2.723052672,336.827,2.6056,-7.9,-7.6
c1cc2c(ccc(NC3C(=O)NCCCN=3)c2)nc1-c1ccc(cc1F)F,0.729419782,2.646824778,366.371,3.5103,-9.4,-9.4
c1cc(Nc2nccc(-c3c(-c4ccc(F)cc4)n(nc3C)C)c2)ccc1,0.535341711,2.192578625,358.42,5.34022,-8.9,-9
C1(NC(=O)C(=C1c1ccc(OC)cc1)c1cn(c2cc(NCC3CCOCC3)ncc12)C)=O,0.565632684,2.78328639,446.507,2.9876,-9.3,-8.4
C1(C(NC(=O)C=1c1cc(-c2ccccc2F)ccc1)=O)c1cccnc1,0.74048934,2.242113797,344.345,3.4549,-9.5,-9.6
c1cc(cc(C2C(NC(=O)C=2c2cccc(Br)c2)=O)c1)C(N)=O,0.810380302,2.243395542,371.19,2.1152,-8.6,-8.2
O=C1NC(C(=C1c1cc(ncc1)NC1CCCCC1)c1cc(ccc1)F)=O,0.813387824,2.460624187,365.408,3.5325,-9.5,-9.1
C1(C(=C(C(=O)N1)c1cc(NC2CCCCC2N)ncc1)c1ccccc1)=O,0.725497445,3.217601545,362.433,2.3306,-9,-8.7
COc1c(OC)cc2c(c(C=C3C(NC(=Nc4ncccc4F)S3)=O)cnc2c1)OC,0.604851688,3.200109298,440.456,3.6863,-8.7,-8.5
c1c(ccc(c1)C1=C(C(NC1=O)=O)c1ccnc(c1)NC1CCCCC1)OC,0.78086397,2.386752844,377.444,3.402,-9.5,-8.9
c1c(c(OC)ccc1)C1C(NC(C=1c1ccnc(c1)NC1CCOCC1)=O)=O,0.774833116,2.53893404,379.416,2.2483,-9,-8.9
C1COCCC1Nc1nc2cc(ccc2nn1)-c1cc(ncc1)Nc1ccccc1,0.514592179,2.507614033,398.47,4.4213,-9.9,-9.2
c1(N=C(c2cc(n3c2cccc3)C)O)cc(NC2CCOCC2)ncc1,0.553418029,2.932298315,350.422,3.86992,-8.8,-7.8
C1C(CCN(C(NC(C)C)=O)C1)Nc1ncc2cnc(-c3ccccc3)nc2n1,0.709535421,2.495284702,391.479,3.0811,-9.4,-8.8
C(C)OC(Nc1cccc(c1)C1=C(C(NC1=O)=O)c1ccc(F)cc1F)=O,0.808066061,2.318375193,372.327,3.1004,-8.8,-8.6
c1(c(-c2c(CNC(C3CCOCC3)=O)cccc2)n[nH]c1OC)-c1ccc(F)cc1,0.646759609,2.57970321,409.461,3.9342,-8.8,-8.3
c1cc(ccc1Br)C1=C(C(=O)NC1=O)c1cc(NC2CCCC2)ncc1,0.750652513,2.44538272,412.287,3.7658,-8.7,-8.8
C1Oc2c(cc(cc2)C2=C(c3ccc(Cl)cc3)C(=O)NC2=O)O1,0.861220278,2.23049292,327.723,2.6359,-8.6,-8
N(C1CCC(C1)O)c1nccc(C2=C(c3ccc(cc3)F)C(NC2=O)=O)c1,0.720269229,3.254650496,367.38,2.1132,-9.1,-8.8
C(Nc1nccc(-c2ccnc(Nc3ccccc3)c2)c1)(C1CCOCC1)=O,0.698081086,2.255207545,374.444,4.2523,-9.3,-8.4
c1cccc2cc(ccc21)-n1c(-c2ccnc(c2)Nc2ccccc2)n[nH]c1=O,0.481383038,2.271718768,379.423,4.5194,-9.4,-9.9
c1ccc2c(c1)n(cc2C1C(=O)NC(=O)C=1c1cccc(F)c1)C(C)C,0.729347377,2.415338236,348.377,3.9285,-9,-8.3
c1c(N2CCC(C2)Nc2c3ccsc3ncc2)nc(cc1)C(N)=O,0.762754521,3.036940051,339.424,2.481,-8.5,-7.9
c1c(C2=C(c3cc(ncc3)Nc3ccccc3)C(NC2=O)=O)cccc1,0.713725077,2.168713902,341.37,3.3924,-9.2,-8.8
c1c(C2C(NC(C=2c2ccnc(NC3CCOCC3)c2)=O)=O)ccc(F)c1,0.81135624,2.535260281,367.38,2.3788,-9.1,-9
c1c(cccc1C1=C(C(=O)NC1=O)c1ccnc(NC2CCOCC2)c1)Cl,0.793382813,2.579779216,383.835,2.8931,-9.1,-9
c1cc(cnc1NC1CCOCC1)C1C(NC(C=1c1cc(C)c(Cl)cc1)=O)=O,0.77423058,2.632115429,397.862,3.20152,-9.4,-8.8
O=C1C(c2cc(ncc2)NC2CCOCC2)=C(C(=O)N1)c1ccc(Cl)cc1,0.793382813,2.530676849,383.835,2.8931,-8.8,-9.1
c1c(-c2cc(NC3CCCCC3)ncc2)c(c[nH]1)-c1cc(Nc2ccccc2)ncc1,0.334430453,2.594529014,409.537,6.6269,-10.2,-9.4
c1(C2C(NC(C=2c2ccnc(Cl)c2)=O)=O)cccc(c1)NC1CCOCC1,0.626476738,2.627498743,383.835,2.8931,-9.1,-9
O=C1NC(=O)C(c2cc(NC3CCC3)ncc2)=C1c1c(cccc1)F,0.841806812,2.437689589,337.354,2.7523,-8.5,-8.1
O(c1cc(ccc1)C1=C(C(NC1=O)=O)c1cc(C)nc(N2CCOCC2)n1)C,0.796718823,2.572940429,380.404,1.19742,-8.7,-8.8
c12c(ccc(O)c2)[nH]nc1NC(CCCN1CCCCC1)=O,0.792284397,2.232621194,302.378,2.4731,-7.6,-7.5
c1(F)ccc(C2=C(C(=O)NC2=O)c2ccnc(c2)NC2CCOCC2)cc1,0.81135624,2.535260281,367.38,2.3788,-9.1,-8.9
c1(cc(ncc1)NC1CCOCC1)-c1ccnc(C(N)=O)c1,0.898456842,2.403800761,298.346,1.8334,-8.1,-7.2
c1c2c(c(-c3ccnc(c3)NC3CCCC3)n[nH]2)cc(c1)CO,0.689726809,2.398062171,308.385,3.4717,-8.6,-8.4
c1(cc(ncc1-c1ccc2c(c1)c(n[nH]2)NC(C1CC1)=O)NC1CCOCC1)F,0.612635679,2.709918218,395.438,3.7034,-9.1,-9.2
C1CC1Oc1ncc(C2=C(c3c4ccccc4n(C)c3)C(NC2=O)=O)cc1,0.727127187,2.590379708,359.385,2.6817,-8.5,-7.7
c1ccc2c(ncc(c2)C2=C(c3cc(OC)c(OC)cc3)C(NC2=O)=O)c1,0.724152426,2.268091596,360.369,2.8192,-8.5,-8.1
O(c1c(c(OC)ccc1)OC)C1C(=O)NC(C=1c1cccc(F)c1)=O,0.84344601,2.451642445,343.31,2.2894,-7.9,-7.8
c12cc(-c3cc(ncc3)NC3CCCCC3)c(nc1cccc2)OC,0.725562554,2.229928367,333.435,5.05,-8.4,-8.4
c1(C2=C(c3cccc(C4CC4)n3)C(NC2=O)=O)ccnc(n1)Nc1ccccc1,0.657504504,2.641434152,383.411,3.0598,-9.6,-9.1
COc1c(OC)cc(C2=C(c3ccc(Cl)cc3)C(NC2=O)=O)cc1OC,0.815588642,2.210358336,373.792,2.933,-7.5,-7.4
c1ccccc1C1C(NC(=O)C=1c1ccnc(NC2CCCC2)c1)=O,0.843948257,2.337633323,333.391,3.0033,-8.8,-8.3
C1(=O)NCCN1c1cc(C2=C(c3ccc(cc3F)F)C(NC2=O)=O)ccc1,0.813316433,2.545542966,369.327,2.0616,-9.1,-8.7
[nH]1c(nc(c1)-c1ccnc(Nc2ccccc2)c1)C1CCCCC1,0.68934085,2.482046266,318.424,5.263,-8.6,-8.2
c1c(-c2cc(Nc3ccccc3)ncc2)ccnc1NC(=O)C1CCC(OC)CC1,0.604659215,2.330604103,402.498,5.0309,-9,-8.2
c1cnc(cc1-c1ccnc(c1)NC(=O)c1[nH]ccc1)NC1CCOCC1,0.646727697,2.603890385,363.421,3.3149,-8.3,-8.2
O=C1C(c2ccc(F)cc2)=C(c2cc(ncc2)NC2CCOCC2)C(N1)=O,0.81135624,2.535260281,367.38,2.3788,-9,-9
C1(NC(C(c2ccc(cc2)F)=C1Nc1ncccc1)=O)=O,0.841077032,2.308820544,283.262,1.7003,-7.9,-7.6
C(C)NC(=O)c1cc(ccc1)C1=C(c2ccncc2)C(NC1=O)=O,0.833260802,2.268140044,321.336,1.3985,-8.6,-7.9
c1cnc2c(c1)cc(-c1cnc(nc1)NC(C1CC1)=O)cc2,0.804716104,2.095297636,290.326,3.0403,-8.3,-7.8
C1(=Cc2ccnc(NC3CCC3)c2)SC(NC1=O)=Nc1ccc(F)cc1,0.79840639,2.930166105,368.437,4.0767,-8.6,-8.1
c1c(NC2CCN(CC2)C(C)C)c(F)c2ccc(=O)n(c2n1)C(C)C,0.921761422,2.759857256,346.45,3.4012,-7.9,-7.7
c1cc(ccc1F)C1=C(C(=O)NC1=O)c1ccnc(NC2CCOCC2)c1,0.81135624,2.535260281,367.38,2.3788,-9.1,-9
c1(cc(-c2c[nH]c(n2)C(N)=O)ccn1)Nc1ccccc1,0.682368241,2.544647404,279.303,2.3142,-7.8,-7.8
c1cc(C2SC(=O)NC2=O)cc(-c2nc3n(c2)cccc3)c1,0.790105479,3.029772822,309.35,3.0254,-8.5,-8.7
c1c(CC)cc(C2=C(C(NC2=O)=O)c2cc(NC3CCC3)ncc2)cn1,0.811533696,2.678680009,348.406,2.5706,-8.7,-8.2
c1c(cc(cc1)C(N)=O)C1=C(c2ccc(Cl)c(c2)Cl)C(=O)NC1=O,0.824073081,2.252374063,361.184,2.6595,-9.2,-8.8
c1(=O)ccc2C(NCc2n1C)=C1c2cc(ccc2NC1=O)F,0.723475307,2.963150901,297.289,1.448,-9,-9.6
c1ccc(cc1)C1=C(C(=O)NC1=O)Nc1cc(ncc1)NC1CCOCC1,0.704337705,2.57855751,364.405,2.1521,-8.4,-9
N1C(=O)C(c2ccc3c(OCO3)c2)=C(C1=O)c1ccc(OC)cc1,0.87459182,2.207785981,323.304,1.9911,-8.3,-7.5
c1c(F)c(F)ccc1C1C(NC(=O)C=1c1ccnc(c1)NC1CCC1)=O,0.827634657,2.522467635,355.344,2.8914,-9,-8.6
c1(C)nc2n(nc(cc2)-c2ccc(Cl)cc2)c1N1CC(N)C(=O)NCC1,0.715266457,3.219204286,370.844,1.62162,-8.6,-8.6
c1nc(nc(NC2CCC(CC2)O)c1)NC(CCC)CO,0.612544886,3.045246691,294.399,1.7649,-6.8,-7.1
N(C(=O)c1cc2ccccc2cc1)c1cc(C)c(Cl)cc1,0.703695504,1.57071439,295.769,5.05392,-8.5,-8.4
Cn1c(cc(c(c1)C(OCC)=O)=O)-c1ccnc(NC2CCCCC2)c1,0.832648846,2.578332816,355.438,3.3686,-8,-8
c1(F)ccccc1Nc1cc2c(=O)n(C)ccc2cc1,0.772344755,1.986411342,268.291,3.4212,-7.9,-8
C1N(c2ccc(cc2)Nc2nccc(-c3cc(ncc3)Nc3ccccc3F)c2)CCOC1,0.40577479,2.337401642,441.51,5.6065,-9.7,-9.4
c1cc2ccccc2cc1-n1c(=O)[nH]nc1-c1cc(NC2CCOCC2)ncc1,0.560847365,2.543330396,387.443,3.3667,-9.4,-9.8
c1nc(ncc1C1C(NC(C=1c1ccc(F)cc1)=O)=O)NC1CCCCC1,0.81309997,2.477692234,366.396,2.9275,-8.7,-8.4
c1c(ccc(Nc2ccc(F)cc2)c1)C1=C(C(NC1=O)=O)c1ccc(cc1)F,0.668658035,2.047594525,376.362,4.2756,-9.2,-8.8
c1c(C2C(=O)NC(=O)C=2c2cccc(c2)OC)ccc(C2CC2)c1,0.880937973,2.146420134,319.36,3.1398,-8.6,-8.4
c1nnc(cc1C1=C(c2ccncc2)C(NC1=O)=O)NC1CCCCC1,0.821427831,2.735194672,349.394,2.1834,-9.3,-8.6
N(C1C(C)N(Cc2ccc3cnc(nc3c2)NC(C)C)C(C1)C)C(=O)C1CC1,0.803176932,3.733021379,381.524,3.3276,-8.7,-7.7
N(C(C1CC1)=O)c1cc(C2=C(c3cccc(C)c3)C(NC2=O)=O)ccn1,0.830916604,2.379203567,347.374,2.30572,-9.3,-8.6
C1(=O)C(c2cccc(OC)c2)=C(C(N1)=O)c1cc(ncc1)NC1CCC1,0.811326201,2.423697473,349.39,2.6218,-8.9,-8.2
c1(C2=C(c3ccccc3Cl)C(NC2=O)=O)cc(ncc1)NC1CCCC1,0.808919745,2.416717489,367.836,3.6567,-8.7,-8.5
