smiles,qed,sas,ror_gamma_docking,dhodh_docking,weight,logP
Cc1cc(C(F)(F)F)cc2c1cc(Cc1c(Cl)ccc(C(=O)N3CCC(C(=O)O)CC3)c1Cl)n2C,0.430972127,2.821864832,-8.9,-8.5,527.37,6.33992
CC(C)N(Cc1ccc(N2CCC(N(C)C)C2)cc1)S(=O)(=O)Cc1ccccc1,0.661176479,2.779126967,-7.1,-10.6,415.603,3.5673
CN(C)C(=O)CCOc1ccc(-c2ccc(-n3nnc4c3C(=O)c3ccccc3C4=O)cc2C)cc1,0.366198528,2.606385164,-8.9,-11.2,480.524,3.87522
CC1(C)C2CCC1(c1nccc(-c3ncnn3CC(O)CO)n1)c1nnc(-c3c(F)cccc3F)cc12,0.410081673,5.160966582,-9.1,-8.5,505.529,3.0268
COc1ccc(C)c(NC(=O)c2cc(F)c(-n3nc4n(c3=O)CCCC4)cc2OC(C)C(F)(F)F)c1,0.498850535,3.275619621,-8.7,-10.1,508.472,4.40832
Cc1cc(C)c(NC(=O)c2cc(F)c(-n3nc4n(c3=O)CCOC4)cc2OC(C)C(F)(F)F)c(Cl)n1,0.396728755,3.675438673,-9,-9.6,529.878,3.95044
COCCS(=O)(=O)c1ccc(CNC(=O)c2ccc3c(c2)nc(CN2CCC(F)(F)CC2)n3CC(F)(F)F)cc1,0.357566919,2.860775759,-8.4,-11.7,588.599,4.1798
CC(=O)N1CCN(c2ccc(CN(C3CCC3)S(=O)(=O)c3ccccc3)c(F)c2)CC1,0.685029941,2.296170017,-7.8,-9.2,445.56,3.2376
Cc1cc(C(=O)O)c2c(c1)nc(-c1c(F)c(F)c(-c3ccc(O)cc3)c(F)c1F)n2CCO,0.298210226,2.874210276,-9.1,-10.4,460.383,4.63122
Cc1cccc(F)c1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCC3)cc1OC(C)CN(C)C,0.553820775,3.356711345,-8.6,-9.8,485.535,3.53812
CC(=O)N1CCN(c2ccc(CN(C3CCC3)S(=O)(=O)c3ccc(F)cc3)c(F)c2)CC1,0.659174602,2.34902985,-7.9,-9.6,463.55,3.3767
CC1C(=O)C(C#N)=CC2(C)c3nc(-c4ccnc5ccccc45)nc(-c4ccccc4F)c3CCC12,0.356696261,3.925661235,-10.6,-9,474.539,5.98678
CCC(O)=C(C#N)C(=O)Nc1ccc(-c2ccccc2Cl)c(C(=O)OC)c1,0.342470169,2.46347565,-7.7,-9,384.819,4.47778
CCC(=O)C(C#N)C(=O)Nc1ccc(-c2ccccc2Cl)c(C(=O)OC)c1,0.602307235,2.765441923,-7.1,-9.2,384.819,3.85098
CCS(=O)(=O)c1ccc(CNc2nc3cnc(-c4c(C)ncnc4C4CC4)nc3n(CC(C)C)c2=O)nc1,0.339317009,3.217595183,-8.6,-10.4,534.646,3.28602
CN(N=Cc1cc[nH]c(=O)c1)c1nc2ccc(-c3ccccc3)cc2c(=O)n1-c1ccccc1,0.323165803,2.725409064,-8.9,-9.4,447.498,4.2113
CCS(=O)(=O)c1ccc(CC(=O)Nc2cnc3c(c2)CCCN3C(=O)c2ccc(C#N)cc2)cc1,0.566824752,2.534974203,-9.3,-10,488.569,3.52108
CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc(C(C)C)cc2OC)cc1,0.798983454,1.963019305,-7.4,-10.3,375.49,3.7934
CCn1c(C)c(C2CC2)c(=O)c2cc(NCc3ccc(C(O)(C(F)(F)F)C(F)(F)F)cc3)ccc2O1,0.456054641,3.196663692,-8.6,-11.2,514.466,6.1069
O=C(O)C1=C(C(=O)Nc2ccc(-c3cccc(O)c3)cc2F)CCC1,0.791232484,2.306809698,-8,-11.6,341.338,3.7019
Cn1cc(C2CCN(C(=O)C3CCCC3)CC2)c2cc(NC(=O)c3cc(C#N)nn3-c3ccccc3)ccc21,0.381936686,2.757479984,-9.7,-7.1,520.637,5.38418
Cc1ccc(-c2ccc(-c3nc4ccc(Cl)cc4c(C(=O)O)c3C)cc2)c(Cl)n1,0.377989689,2.328680306,-8.8,-7.9,423.299,6.58564
CCCc1cc(CN2CCC(C(O)C(F)(F)F)CC2)ccc1-c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,0.370350672,3.351058495,-8.1,-11.5,557.497,6.7535
COC(=O)C1CN(c2ccc(CN3C(C)CCC(c4ccccc4)S3(=O)=O)c(F)c2)CCC1n1cnnc1,0.439007171,4.405884178,-8.8,-6.8,541.649,3.7132
CC(Oc1cc(-n2nc3n(c2=O)CCOC3)c(F)cc1C(=O)Nc1c(C)cccc1Cl)C(F)(F)F,0.514486389,3.477693095,-8.6,-10.9,514.863,4.24702
O=C(Nc1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1)C1c2ccc(S(=O)(=O)C3CC3)cc2CN1C(=O)CO,0.462409792,3.511225176,-7.4,-7,566.476,2.9492
CCN(CC)C(=O)c1nc(C(=O)NCC(C)(C)O)sc1-c1ccc(C(O)(C(F)(F)F)C(F)(F)F)c(Cl)c1Cl,0.347262121,3.381376469,-7.4,-7.6,610.404,5.4118
Cc1c(-c2ccc(-c3cccnc3Cl)cc2)nc2ccccc2c1C(=O)O,0.472273223,2.134569718,-8.8,-12.7,374.827,5.62382
CCCC(C)Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)NC1CCN(S(C)(=O)=O)CC1,0.567483273,3.385501257,-8.3,-10.2,523.631,2.2306
Cc1nc2c(C(=O)O)cc(-c3ccc(-c4ccccc4)cc3)cc2[nH]1,0.561733988,2.061066621,-9,-12.2,328.371,4.90352
CCc1nc(C)c(C(=O)NC2CCCc3c2cnn3-c2ccccc2F)s1,0.735204604,2.989370291,-7.9,-9.5,384.48,4.14612
CC(Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1cccc(C(F)(F)F)c1)C1CCCCC1,0.377670782,3.340504679,-9.3,-11.1,546.565,6.1281
CCn1c(Cc2ccc(C(F)(F)F)cc2)cc2cc(C(=O)NC(CO)c3ccc(S(=O)(=O)NC)cc3)ccc21,0.278202822,3.087546591,-9,-11.2,559.61,4.6423
CC(=O)N1CCC(C(=O)N2CCC(c3ccc(C(OCc4c(F)cccc4C(=O)O)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,0.225659051,3.987927136,-9.2,-7,708.702,5.6432
Cc1cc(C(F)(F)F)cn2c(C)c(Cc3c(Cl)ccc(C(=O)N4CCC(C5COC5)CC4)c3Cl)nc12,0.386825461,3.091452214,-8.6,-10.7,540.413,6.36614
CCc1nn(-c2cc(OC(C)c3ccccc3)c(C(=O)Nc3cccc(C(=O)NC4CC4)c3)cc2F)c(=O)n1C,0.322014471,3.128443052,-8.9,-11.4,543.599,4.557
CC(=O)N1CCC(C(=O)N2CCC(c3ccc(C(O)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,0.395840493,3.530352369,-8.1,-6.7,624.575,4.2979
Cn1c(Cc2c(Cl)ccc(C(=O)N3CCC(C(=O)O)CC3)c2Cl)cc2c(F)cc(C(F)(F)F)cc21,0.409983165,2.875480055,-9.2,-11.1,531.333,6.1706
CC(=O)C(C#N)C(=O)Nc1ccc(-c2ccccc2)cc1Cl,0.87552539,2.489441813,-7.4,-10.1,312.756,3.67428
O=C(O)c1cc(-c2ccc(Oc3ccccc3)cc2)nc2ccc(Cl)cc12,0.471632919,1.853637204,-8.9,-11.4,375.811,6.0457
CCc1nn(-c2cc(OC(C)c3ccccc3)c(C(=O)Nc3cccc(F)c3)cc2F)c(=O)n1C,0.41383979,3.019696412,-8.8,-11.2,478.499,4.8039
CC(Oc1cc(-n2nc(C3CCC3)n(C)c2=O)c(F)cc1C(=O)Nc1ccccc1F)C(F)(F)F,0.502285016,3.255411952,-8.2,-11.7,496.436,4.6986
CCC(C)(O)c1ccc(-c2cc(C(=O)O)c3cc(Cl)ccc3n2)cc1,0.699946285,2.628147618,-8.4,-11.4,355.821,4.8709
O=C(NCc1ccnc(O)c1)C1CCC2(S(=O)(=O)c3ccc(F)cc3)c3ccc(C(F)(C(F)(F)F)C(F)(F)F)cc3CCC12,0.246279688,4.349944083,-9.2,-7.5,648.572,6.1737
CN1CCN(Cc2ccccc2Cl)CC1,0.75930341,1.602076232,-6.5,-7.2,224.735,2.0874
CC(=O)NCC1CN(S(=O)(=O)c2ccc(F)cc2)c2cc(NC(=O)OC(C)(C)C(F)(F)F)ccc2O1,0.546344508,3.198438134,-8.3,-10.3,533.5,3.8075
CCS(=O)(=O)c1ccc(C(CO)NC(=O)c2ccc3c(c2)nc(CC2CCC(C(F)(F)F)CC2)n3C2CC2)cc1,0.347920506,3.30747675,-8.8,-10.8,577.669,5.5394
Cc1c(-c2ccc(-c3cccnc3Cl)cc2)nc2ccc(Cl)cc2c1C(=O)O,0.404864335,2.247152238,-10,-13,409.272,6.27722
CCCC(C)Oc1cc(-n2nc(CC)n(C)c2=O)c(F)cc1C(=O)Nc1ccccc1F,0.564054233,3.085204149,-7.8,-10.7,444.482,4.2313
CC(=O)NCC1CN(S(=O)(=O)c2ccc(F)cc2)c2cc(NC(=O)OC(C)C(C(F)(F)F)C(F)(F)F)ccc2O1,0.449074416,3.766077056,-8.3,-11,601.497,4.5959
Cc1cc(OC(F)F)cc2ccn(C(=O)c3c(Cl)ccc(C(=O)N4CC5CC4CO5)c3Cl)c12,0.50205674,4.544498232,-9.1,-7,495.309,5.15972
CC(NC(=O)c1cc(-c2nc[nH]c(=O)c2)ccc1Cl)c1ccc(C(F)(F)F)cc1,0.646140851,2.873090108,-8.9,-11.8,421.806,4.6001
CCC(O)=C(C#N)C(=O)Nc1ccc(-c2ccccc2)c(C(=O)OC)c1,0.369462023,2.354010259,-7.8,-10.2,350.374,3.82438
CCc1nn(-c2cc(OC(C)C(F)(F)F)c(C(=O)Nc3ccccc3F)cc2F)c(=O)n1C,0.552984593,3.201166934,-8,-10.4,470.398,3.9935
CCn1cnc(S(=O)(=O)N2CCCCc3ccc(NC(=O)OC(C)(C)C)cc32)c1,0.812341238,2.659854152,-7.6,-8.1,420.535,3.7816
CCc1ccccc1-c1cc(F)c(NC(=O)C2=C(C(=O)O)CCC2)c(F)c1,0.800736638,2.4678195,-8.3,-11.4,371.383,4.6978
Cc1ccc(C)n1-c1c(F)c(F)c(-c2nc3cccc(C(=O)O)c3[nH]2)c(F)c1Cl,0.436279502,3.022845447,-8.6,-11.4,419.79,5.40634
CC(Oc1cc(-n2nc3n(c2=O)CCS3)c(F)cc1C(=O)Nc1c(F)cccc1F)C(F)(F)F,0.528970073,3.521679697,-8.6,-11.3,504.412,4.1389
CCc1cc(=O)n2[nH]c(SCc3cc(Cl)ccc3Cl)nc2n1,0.726939298,2.71035363,-7.8,-10,355.25,3.5791
CC(=O)C(C#N)C(=O)Nc1ccc(-c2ccccc2)cc1Cl,0.87552539,2.489441813,-7.5,-10.8,312.756,3.67428
CN(N=Cc1ccccc1C(=O)O)c1nc(-c2cc(Cl)ccc2Cl)cs1,0.462245882,2.557103884,-8.1,-10.3,406.294,5.2854
Cc1ccc(Nc2ccc(-c3ccc(F)c(F)c3)nc2)c(C(=O)O)c1,0.717568402,2.051419368,-9,-12.3,340.329,4.77702
Cc1cc(C(F)(F)F)cn2c(C)c(Cc3c(Cl)ccc(C(=O)N4CCC(C(F)(F)F)CC4)c3Cl)nc12,0.320551924,3.058519044,-8.9,-10.7,552.346,7.28204
CCOc1cccc(-c2ccc(NC(=O)C(C#N)=C(O)CC)cc2C(=O)OC)c1,0.314906864,2.480127614,-7.5,-10.4,394.427,4.22308
CC1(C)C(=O)C(C#N)=CC2(C)c3nc(-c4cc(CF)nc5ccccc45)nc(-c4ccccc4F)c3CCC12,0.295290457,3.988890338,-9.6,-7.2,520.583,6.84638
CC(=O)NCOC1CCN(c2ccc(CN(CC(C)C)S(=O)(=O)Cc3ccccc3)cc2)CC1,0.488545797,2.650514746,-8,-10.8,487.666,3.7536
COC(=O)c1c(-c2ccc(Cl)c(F)c2)nc2ccc(C(F)(F)F)cc2c1C(C)C(=O)O,0.403899583,3.003267015,-7.9,-8,455.791,5.6878
CCn1cc(S(=O)(=O)N2CC(C(=O)NC3CC3)Oc3ccc(NC(=O)OC(C)(C)C(F)(F)F)cc32)c(Cl)n1,0.511302416,3.648158947,-7.7,-9.3,579.985,3.6807
Cc1ccc(Nc2ccc(-c3ccc(F)cc3F)nc2)c(C(=O)O)c1,0.717568402,2.072902665,-8.6,-11.4,340.329,4.77702
CN(C)c1cccc(COC(c2ccc(C3(S(=O)(=O)c4ccc(F)cc4)CCCC3)cc2)(C(F)(F)F)C(F)(F)F)c1,0.19591465,3.139301324,-7.8,-7.4,603.6,7.6716
CCN(CC)C(=O)c1nc(CN(C)C(=O)c2c(F)cccc2F)sc1-c1ccccc1C(F)F,0.374014925,2.824319058,-8.6,-8.6,493.526,5.7801
Cc1cc(C(=O)O)c2[nH]c(-c3c(F)c(F)c(-c4ccccc4OCc4ccccc4)c(F)c3F)nc2c1,0.191394038,2.749656264,-9.4,-13.5,506.455,7.03892
COC(=O)c1ccc(-n2cc(-c3c(C(=O)O)[nH]c(=O)[nH]c3=O)nn2)cc1NCCO,0.30448225,2.888242707,-7.7,-10.8,416.35,-0.8001
CCC(COC)n1ccc2cc(C(C)c3c(Cl)nc(CO)nc3C3CC3)n(C)c2c1=O,0.532583845,4.183384174,-7.5,-6.5,444.963,3.9024
COc1cccc(-c2ncc(Nc3ccc(C)cc3C(=O)O)cc2C)c1,0.691796958,2.103304727,-8.8,-11,348.402,4.81584
Cc1ccc(Nc2cnc(S(N)(=O)=O)c(C)c2)c(C(=O)O)c1,0.788710212,2.406816186,-8.7,-9.8,321.358,1.78764
CC(Oc1cc(-n2nc3ccccn3c2=O)c(F)cc1C(=O)Nc1c(F)cccc1F)C(F)(F)F,0.413574807,3.264935403,-8.7,-11.1,496.367,4.4844
CC(=O)NCC1CN(S(=O)(=O)c2ccc(F)cc2)c2cc(NC(=O)OC(C)C(F)(F)F)cc(Cl)c2O1,0.521382391,3.592351963,-9.1,-11.4,553.918,4.0708
CC(=O)N1CCC(C(=O)N2CCC(c3ccc(C(Oc4ccc(OC(F)(F)F)cc4)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,0.176261311,3.890968945,-9,-6.9,784.669,7.2832
O=C(O)C1CCN(C(=O)N2CCC(c3ccc(C(OCc4c(F)cccc4F)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,0.197886337,3.939218925,-8.5,-6.3,752.652,6.9321
Cc1cc(C#N)cc2c1cc(Cc1c(Cl)ccc(C(=O)N3CCC(C(=O)O)CC3)c1Cl)n2C,0.552230354,2.817392694,-9.1,-10.5,484.383,5.1928
CN(C)C(=O)c1ccc2c(c1)c(Sc1c(Cl)cccc1Cl)nn2C(=O)c1ccccc1,0.373660568,2.589999725,-8.3,-9.7,470.381,5.8846
Cc1ccn2nc(O)c(C(=O)Nc3c(F)c(F)c(-c4ccccc4)c(F)c3F)c2c1,0.372355667,2.79136634,-9.5,-14,415.346,4.82402
Cc1nc2c(C(=O)O)cc(-c3ccc(-c4ccccc4CN4CCCCC4)cc3)cc2[nH]1,0.418299653,2.339490775,-8.5,-13.9,425.532,5.88942
CCN(CC12CCC(c3cc(-c4c(F)cccc4F)nnc31)C2(C)C)C(=O)c1nc2ccccc2c(=O)[nH]1,0.405040153,4.725889578,-9.7,-8.5,515.564,4.9756
O=C(O)C1=C(C(=O)Nc2ccc(-c3ccccc3)cc2)CCC1,0.901108688,1.971229983,-8,-11,307.349,3.8572
CC=C(C#N)c1ccc(C(=O)c2ccc3c(c2)nc(CC(C)(C)C)n3C2CCC2)cc1,0.355171885,2.726067925,-8.9,-11.8,411.549,6.50778
CCCC(C)Oc1cc(-n2nc(CC)n(C)c2=O)c(F)cc1C(=O)Nc1ccccc1C(F)(F)F,0.441681515,3.220188794,-8.2,-11.1,494.489,5.111
O=C(O)c1ccc(-n2cc(C(=O)c3c(Cl)cccc3C(F)(F)F)c3cc(Cl)ccc32)c(F)c1,0.244036941,2.571787199,-8.4,-12.4,496.243,7.0244
CC(=O)N1CC(C(=O)N2CCC(c3ccc(C(OCc4c(F)cccc4C(=O)O)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,0.210851393,4.239619617,-8.6,-6.1,762.672,5.9696
Cc1cc(C#N)cc2c1nc(Cc1c(Cl)ccc(C(=O)N3CCOCC3)c1Cl)n2C,0.61072983,2.754273483,-7.9,-9,443.334,4.1234
Cc1nccnc1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCC3)cc1OC(C)C1CCCCC1,0.550667695,3.488532921,-8.9,-10.5,494.571,4.20772
Cc1nc[nH]c1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCC3)cc1OC(C)C(F)(F)F,0.559948639,3.712012924,-8.4,-11.1,468.411,3.12282
COc1ccccc1-c1ccc(NC(=O)C(C#N)C(C)=O)c(Cl)c1,0.840411561,2.591931679,-7.5,-10.7,342.782,3.68288
Cc1ccnc(C(=O)NC2CCCc3c2cnn3-c2ccccc2C)c1,0.786668932,2.79704456,-9.8,-10.7,346.434,3.69154
O=C(O)C(=O)N1Cc2cc(Br)ccc2CC1C(=O)Nc1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,0.386152304,3.255069739,-8.2,-9.3,569.252,3.7379
Cc1cc(C(F)(F)F)nc2c1cc(Cc1c(Cl)ncc(C(=O)N3CCN(C4COC4)CC3)c1Cl)n2C,0.459299344,3.242074592,-8.5,-9.4,542.389,4.34972
CN(C)S(=O)(=O)NC1CC(=O)N(C2CCC3(S(=O)(=O)c4ccc(F)cc4)c4ccc(C(F)(C(F)(F)F)C(F)(F)F)cc4CCC23)C1,0.338150002,4.617877053,-8.2,-6.3,703.674,4.506
Cn1nc2cc(-c3c(F)c(F)c(-c4cccc(CN5CCCCC5)c4)c(F)c3F)cc(C(=O)O)c2n1,0.288955892,2.946964878,-9.5,-13.9,498.48,5.5428
O=C(O)c1ccc(-n2cc(C(=O)c3c(Cl)cccc3Cl)c3cccc(F)c32)cc1,0.405530168,2.33415552,-8.9,-11,428.246,6.0056
CC(C)(CCC(=O)O)Cc1ccc(C(=O)Nc2cnc3c(c2)CN(Cc2ccc(Cl)cc2)C3C(C)C)cc1,0.28935531,3.245228443,-8.3,-9.6,534.1,7.1337
Cc1ccc(C(F)(F)F)cc1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCC3)cc1OC(C)C1CCCCC1,0.352365325,3.387596074,-9.2,-11.4,560.592,6.43652
CCCC(C)Oc1cc(-n2nc(CC)n(C)c2=O)c(F)cc1C(=O)Nc1ccccc1NC,0.506310752,3.201830845,-8,-10.6,455.534,4.1339
Cc1[nH]c(=O)c(-c2ccc3c(c2)CCCN3C(=O)c2c(F)cccc2Cl)c(Cl)c1Cl,0.501293043,2.620261243,-9.1,-12.1,465.739,6.04262
O=C(O)c1ccc(-c2nn(C(=O)c3c(Cl)cc(Cl)cc3C(F)(F)F)c3cc(Cn4ccnc4)ccc23)c(F)c1,0.232309612,2.963964032,-8.8,-10.8,577.321,6.7995
CC(Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1ccc(F)cc1C#N)C(F)(F)F,0.524287204,3.42923081,-8.9,-10.8,507.419,4.10208
COc1ccc2ccc(CCc3c(C(=O)O)[nH]c(=O)[nH]c3=O)cc2c1NCCO,0.38151845,2.712637571,-8.1,-11.2,399.403,1.1126
Cn1ncc2cc(-c3ccc(-c4ccccc4)cc3)cc(C(=O)O)c21,0.597528468,2.109376236,-8.8,-11.6,328.371,4.6055
Cc1c(NC(=O)c2cccc(C#N)c2)cnc2c1c(C1CCC(C(F)(F)F)C1)cn2C,0.605281919,3.561049412,-8.8,-12.6,426.442,5.4517
CC(C)(C)CN(CC(O)C(F)(F)F)C(=O)C1CCC2(S(=O)(=O)c3ccc(F)cc3)c3ccc(C(F)(C(F)(F)F)C(F)(F)F)cc3CCC12,0.236701001,4.724088362,-7.3,-6.4,723.645,7.5546
Cc1c(C(N)=O)c2ccc(Cl)cc2c(-c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2)n1,0.520278235,2.689704454,-8.4,-10.2,462.777,5.27472
CCS(=O)(=O)c1ccc(CNC(=O)c2ccc3c(c2)ncn3C)cc1,0.759613173,2.11517695,-7.8,-11.1,357.435,2.2969
COCOc1ccc2cc(CCC(=O)Nc3cc(Cl)cc(Cl)c3)c(C)cc2c1NCCO,0.340384794,2.616941742,-7.6,-10.5,477.388,5.41322
Cc1cc(C(=O)O)c2[nH]c(-c3c(F)c(F)c(-c4ccccc4OCc4ccccc4)c(F)c3F)nc2c1,0.191394038,2.749656264,-9.6,-13.7,506.455,7.03892
CC(Oc1cc(-n2nc3n(c2=O)CCCO3)c(F)cc1C(=O)Nc1ccccc1F)C(F)(F)F,0.55879808,3.411370579,-8.7,-11.2,484.381,3.6766
CCc1nn(-c2cc(OC(C)C3CCCCC3)c(C(=O)Nc3cccc(S(C)(=O)=O)c3)cc2F)c(=O)n1C,0.453199532,3.307026291,-8.7,-10.2,544.649,4.2759
CC1C(=O)C(C#N)=CC2(C)c3nc(-c4ccnc5ccc(F)cc45)nc(-c4ccc(F)cc4F)c3CCC12,0.31783868,4.073554186,-11.1,-8.1,510.519,6.26498
CC(=O)N1CCN(c2ccc(CN(C3CCC3)S(=O)(=O)Cc3ccc(C)cc3)c(F)c2)CC1,0.615522222,2.467258938,-8.6,-9.9,473.614,3.68712
Cc1cccc2cc(CN3CCC(c4ccc(C(O)(C(F)(F)F)C(F)(F)F)cc4)(S(=O)(=O)c4ccc(F)cc4)CC3)ccc12,0.174830624,3.034290176,-9.5,-8.4,639.633,7.56472
CCS(=O)(=O)c1ccc(CNC(=O)c2ccc3c(c2)nc(CN2CCCC2=O)n3CC2CCC2)cc1,0.475162431,2.542952132,-9,-12.1,508.644,3.6824
COC1(C(=O)N2CCC(c3ccc(C(F)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CCOC1,0.350937668,4.159453248,-8.6,-7.4,601.512,4.8221
CC(C)CN(Cc1ccccc1)S(=O)(=O)c1ccc(N2CCN(S(C)(=O)=O)CC2)c(F)c1,0.57706971,2.310685868,-7.9,-9.4,483.631,2.7542
O=C(O)c1cc(C2CC2)ccc1Nc1cnc(-c2ccccc2)c(-c2ccccc2)c1,0.372366654,2.173705242,-9.2,-12,406.485,6.7348
CC(=O)NCC1CN(S(=O)(=O)c2ccc(F)cc2)c2cc(NC(=O)OC(C)(C)C(F)(F)F)ccc2O1,0.546344508,3.198438134,-8.2,-10.9,533.5,3.8075
NS(=O)(=O)c1ccc(CNC(=O)Nc2cc(Cl)c(-c3ccccc3OC(F)(F)F)c(Cl)c2)cc1,0.386495042,2.398677867,-9.1,-10.9,534.343,5.5281
[H]C([H])([H])N(C(=O)c1c(F)cccc1Cl)c1ncc(-c2cc(C(N)=O)ccc2Cl)cc1OCC(F)(F)F,0.438213919,2.769649989,-7.6,-10.4,516.278,5.5111
O=C(CCNC(=O)c1ccc(OC(F)(F)F)cc1)NCC1CCCc2ccccc21,0.713113057,2.653749411,-8.7,-11.7,420.431,3.9414
O=C(O)c1ccc(-n2cc(C(=O)c3c(Cl)cccc3Cl)c3c(F)cccc32)c(F)c1,0.383134712,2.434702763,-8.3,-11.9,446.236,6.1447
CC1C(=O)C(C#N)=CC2(C)c3nc(-c4ccnc5ccccc45)nc(-c4ccccc4F)c3CCC12,0.356696261,3.925661235,-10.8,-9.1,474.539,5.98678
COc1ncnc(C2CC2)c1-c1ncc2nc(NCc3ccc(S(N)(=O)=O)cn3)c(=O)n(C(C)C)c2n1,0.34327536,3.24013451,-8.6,-10.2,523.579,1.7649
CCC(=O)C(C#N)C(=O)Nc1ccc(-c2ccccc2Cl)c(C(=O)OC)c1,0.602307235,2.765441923,-7.7,-9.2,384.819,3.85098
CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc(NCC(O)CO)cc2)cc1,0.513051136,2.521611802,-7.1,-10.1,392.477,1.4265
CCC(=O)C(C#N)C(=O)Nc1ccc(-c2ccccc2Cl)cc1,0.842037931,2.545114479,-8.1,-10.7,326.783,4.06438
Cc1ccc(F)c(-n2ncc3c2CCCC3NC(=O)c2onc3c2CCCC3)c1,0.728935549,3.298909201,-9.5,-10,394.45,3.99402
CCS(=O)(=O)c1ccc(CNC(=O)c2cnc3c(c2)CN(Cc2ccc(C#N)cc2)C3C(C)C)cc1,0.490057497,3.178508619,-8.6,-11.6,502.64,4.38978
Cc1ccc(-c2ccc3c(c2)CC(c2ccc(C(OCc4c(F)cccc4F)(C(F)(F)F)C(F)(F)F)cc2)(S(=O)(=O)c2ccc(F)cc2)C3)cn1,0.117788768,3.913605872,-10.3,-7.1,735.668,9.47902
CCS(=O)(=O)c1ccc(CNc2nc3cnc(-c4c(C5CC5)ncnc4C4CC4)nc3n(C(C)C)c2=O)cc1,0.325118602,3.179797389,-8.4,-10,545.669,4.3849
CC(C(=O)O)c1cnc(-c2ccc3c(c2)CCCN3S(=O)(=O)N(C)Cc2ccc(C(F)(F)F)cc2)s1,0.448771713,3.328356684,-7.4,-10.1,539.601,5.1464
CCCC(C)Oc1cc(-n2nc(CC)n(C)c2=O)c(F)cc1C(=O)Nc1ccccc1C(F)(F)F,0.441681515,3.220188794,-8.2,-11.1,494.489,5.111
