smiles,qed,sas,weight,logP,ror,dhodh
[n+]1(C2CCCC2)cccc[n+]1CC(Nc1ccc[n+](-n2c(=O)n3CCCCc3n2)c1)=O,0.601225231,3.974183163,422.513,0.3088,-10.9,-11.2
c1ccc(cc1)C[N+]1(CCC(CC1)NS(=O)(c1ccccc1-n1nc2n(CCCC2)c1=O)=O)C,0.547151104,3.014334625,482.63,2.4578,-9.6,-8.9
C(CCC)(=C(CC)Cl)CC(=O)N1CCC(=O)Nc2c(C1)c(ccc2)C1CN(C(=O)c2nn(c(n2C)=O)C)C1,0.577879021,3.575688925,543.068,3.1223,-8,-5.9
c1(cc2c(C(C2(C)C)(C)C)cc1)-n1c(=O)n(CCC)c(C(Nc2cc(c(cc2F)C(F)(F)F)F)=O)n1,0.458988405,3.150127783,508.491,5.5621,-11.2,-7.1
[n+]1(ccc(C(NCc2ccccc2C2CC[N+](C)(C)CC2)=O)cc1)-n1c(C)nn(C)c1=O,0.485122214,3.472083281,436.56,1.37292,-10.6,-10.5
C(F)(C)(F)OC1(CC=C(C(=O)N2CCC(c3ccc4sc(nc4c3)-c3ccccc3)CC2)CC1)O,0.432135303,3.559196057,498.595,6.0975,-11.1,-9.8
c1c2c(CCc3c(ccc(F)c-23)F)ccc1C(=O)Nc1c(cc2c(c1)CCCC2)-n1cnn(C)c1=O,0.454685021,2.965464354,486.522,4.7459,-14.1,-11.4
[n+]1(CC2CCCCC2)cccc(c1)C(Nc1ccc(-n2c(n3CCCc3n2)=O)c[n+]1C)=O,0.62365969,3.44801534,434.544,1.9248,-10.5,-11.7
Fc1cc(C2=C(CCN(C(C3(C#N)CCN(C(=O)CCc4ccccc4)CC3)=O)C2)C(C)C)c(CNC(c2ccccc2)=O)cc1,0.310087289,3.096781284,620.769,6.16278,-9,-5.3
c1[n+](CC2CC[N+](C)(C)CC2)ccc(c1)C(Nc1cccc(-n2c(=O)n3c(n2)CCC3)c1)=O,0.479439173,3.277146632,448.571,2.0064,-10.8,-11.7
c1(CNC(c2cc[n+](cc2)CC2CC[N+](CC2)(C)C)=O)nn(C)c(n1C1CC1)=O,0.570788447,3.466259793,400.527,0.6206,-9.8,-11.4
[n+]1(CC2CC[N+](CC2)(C)C)ccccc1C(Nc1ccc(-n2c(=O)n3CCc3n2)cc1)=O,0.489974756,3.386972445,434.544,1.6163,-9.4,-11.9
N1(CCC(CC1)N(C(c1ccc(c(c1)F)Cn1c(=O)n2c(n1)CCCC2)=O)C)C(CCC(C(F)(F)F)(F)F)=O,0.484273173,3.026143855,561.527,3.6093,-11.4,-11.8
c1[n+](CC2CCCCC2)cccc1C(Nc1ccccc1-c1nn(c(n1C1CC1)=O)C)=O,0.603834449,2.867460237,432.548,3.7038,-10.1,-9.4
C[n+]1cc(ccc1F)C(=O)Nc1ccccc1C[N+]1(C)CCC(c2n(c(n(n2)C)=O)C)CC1,0.363441672,3.41559556,454.55,1.8589,-8.7,-9.7
c1(C2CC[N+](CC2)(C)C)c(NC(=O)c2cc[n+](cc2)C)ccc(-n2nc3CCCn3c2=O)c1,0.490288856,3.312627952,448.571,2.0108,-10.2,-8.4
c12c(cc(C(Nc3ccc4c(c3)CCCC4)=O)cc1)C(c1ccccc1-2)n1c(=O)n(C)nc1C,0.43543651,3.045702374,450.542,4.63942,-10.4,-10
[n+]1(ccc(cc1)CC1CCN(C(Cn2nc(n(C)c2=O)-c2ccccc2)=O)CC1)C,0.604264956,2.639179399,406.51,1.5546,-10.2,-10.5
FC(F)(F)c1ccc(c(-n2c(C)nn3c2nc(N2CCCCC2)n3)c1)NC(=O)C1CCCN(C1)C1CC1,0.551194475,3.563332983,516.572,4.04542,-9.8,-7.2
N(c1cccc(-n2nc3n(CSCC3)c2=O)c1)C(=O)c1c[n+](C2CCCCC2)ccc1,0.637051332,3.214709452,436.561,3.3258,-11.5,-11.8
[n+]1(CC2CCCCCC2)ccc(cc1)C(=O)Nc1cccc(-n2c(=O)n3c(n2)CC3)c1,0.511189308,2.848098294,418.521,3.1003,-11.5,-12.1
c1[n+](C2CC[N+](C)(CC2)C)ccc(C(=O)Nc2ccccc2-n2c(=O)n3CCc3n2)c1,0.51412718,3.438339659,420.517,1.5412,-9.9,-10.5
c1c2N(CCc2cc(c1)C(=O)Cn1nc2n(CCSc3nn(C)c(n3-2)=O)c1=O)C(c1ccccc1)=O,0.383246787,3.073683472,503.544,1.1207,-12.3,-10
[n+]1(CC2CC[N+](C)(CC2)C)ccc(cc1)C(=O)Nc1cccc(-n2nc3CCCn3c2=O)c1,0.479439173,3.277146632,448.571,2.0064,-10.8,-11.3
O=C(N1CCC(C[n+]2ccc(cc2)CC[N+](C)(C)C)CC1)Cn1nc2n(c1=O)CCCC2,0.471938773,3.209541624,442.608,0.8561,-9.6,-9.3
[n+]1(CC2CCC(CC2)C)ccc(cc1)C(Nc1ccc(-n2c(n(c(n2)C)C)=O)cc1)=O,0.644251905,2.805934473,420.537,3.24552,-9.6,-11
[n+]1(ccc(cc1)C(Nc1cccc(CC2CC[N+](CC2)(C)C)c1)=O)-n1nc2CCCn2c1=O,0.478505246,3.423172543,448.571,1.8711,-11.2,-11.3
c1[n+](CC2CC[N+](C)(C)CC2)cccc1NC(=O)c1ccc(-n2c(n3CCCc3n2)=O)cc1,0.479439173,3.278672624,448.571,2.0064,-9.5,-12.4
c1[n+](C2CC[N+](C)(C)CC2)cc(c(c1)C(=O)NC1CCC1)-n1c(=O)n2c(CCCC2)n1,0.592611917,3.646027829,426.565,1.3514,-8.3,-8.9
n1c(C)n(-c2ccc(N3CCOCC3)cc2C(=O)Nc2c(C(F)(F)F)c(OC)ccc2)c(=O)n1CC(Nc1c(C)c(ccc1)F)=O,0.271002546,2.988344793,642.61,4.54494,-8.7,-10.6
O=C(C1CCCC1)Nc1ccc[n+](Cc2nn(c(n2C)=O)-c2ccccc2C(=O)N)c1,0.580626169,2.842257025,421.481,1.1344,-9.6,-12.2
Cn1cc(C(=O)Nc2c(ccc(c2F)F)Cn2c(n3c(n2)CCCC3)=O)c(n(C)c1=O)=O,0.621863942,2.931368036,446.414,0.3573,-7.7,-9.7
O=c1n2c(C(CC2)Cc2[n+](CC)cccc2)nn1CC(N1Cc2c(cccc2)CC1)=O,0.592359345,3.546860621,418.521,1.6671,-10.8,-11.6
C1Cc2c(C(=NNc3n(C)c(=O)n(-c4c(cccc4)F)n3)C=1)cc(c(OC(C)C)c2)C1CC1,0.571982696,3.239923924,447.514,4.3032,-11.7,-13.2
C1c2c(CCO1)cc(C1(CCN(C(C3CN(c4ccc(F)c(-n5c(=O)n(nc5O)C)c4)CC3)=O)CC1)C)cc2,0.552535495,3.69097036,535.62,2.895,-9.2,-10.7
n1c(CC)n(C)c(=O)n1-c1cccc(c1)S(=O)(NC(=O)CC[n+]1cccc[n+]1C)=O,0.488712713,3.423983764,432.506,-0.8594,-9.1,-11.7
c1c(Cl)c(C2CCC(CC2)C(Nc2cccc(c2)-n2c(C)nn(C)c2=O)=O)cc(c1)C,0.638382611,2.476840043,438.959,4.75374,-10.8,-12.8
C1c2ccc(C=C(c3nn(C)c(n3C)=O)CCC3CC[N+](CC3)(CC)CC)cc2CCC1,0.594761237,3.453214152,437.652,4.585,-9.6,-9.6
[n+]1(ccccc1C[N+]1(C)CCC(NC(c2ccc(cc2)-n2nc3CCCCn3c2=O)=O)CC1)C,0.463758349,3.257403855,462.598,1.7338,-9.7,-9.3
[n+]1(CC2CCCCC2)ccc(cc1)NC(Cn1c(n(-c2ccccc2)nc1CCC)=O)=O,0.551776891,2.747895737,434.564,3.493,-10,-11.6
C[N+]1(C)CCC(C(NC2CCC(CC2)c2nn(c(=O)n2CC)-c2ccccc2)=O)(C)CC1,0.726782297,3.101358665,440.612,3.0728,-9.6,-7.8
c1cc(cc2c1CCCc3n-2c(n(n3)-c2ccc(NC(=O)c3ccccc3)cc2)=O)C(=O)O,0.505530456,2.413018373,440.459,3.4624,-10.3,-7.1
[n+]1(C)ccc(c(NC(c2cc[n+](cc2)CCC2CCCCC2)=O)c1)-n1nc2n(CC2)c1=O,0.60253094,3.338962735,434.544,1.9248,-9.2,-11.9
c1ccccc1C(CC(=O)Nc1c(-n2c(n3c(SCC3)n2)=O)ccc(Cl)c1)[N+]#[C-],0.631149639,3.534517019,425.901,3.78229,-9.6,-11.1
[n+]1(CC2CCCC2)c(cccc1)NC(=O)c1ccc(-n2nc(n(c2=O)C)C2CC2)cc1,0.625149834,2.938425052,418.521,3.1784,-10,-12.5
[n+]1(cccc[n+]1C1CCN(CC1)C(=O)c1cc(-n2c(=O)n3CCCCc3n2)ccc1)C,0.593041853,3.338352934,420.517,0.9596,-11.6,-10
c1(cccc(c1)C1=C(C(CC)C)CC(=NC(c2cc(ccc2)NC(c2nn(C)c(=O)n2C)=O)=O)C1)F,0.555404902,3.713239719,489.551,4.3851,-12.2,-10.6
c1c(C[N+]2(CCCCCCC2)C)cc[n+](c1)Cc1cc(-n2c(n3c(n2)CCC3)=O)ccc1,0.45807333,3.221263379,433.6,3.2267,-11.1,-12.5
c1(C[N+]2(C)CCCCC2)ccc(cc1)C(=O)Nc1cc2n(c(=O)n(C)n2)cc1C1CC1,0.644252617,3.096201781,420.537,3.2932,-10.2,-11
C(F)(c1nn(CC2ON=C(C=C2)Cl)c(n1-c1ccc(cc1)C1CCC(C(O)=O)CC1)=O)(F)F,0.693266404,3.787893949,484.862,3.9185,-9.9,-12.8
[N+]1(CCCCCCCCCCC1)(Cc1ccc(-n2nc3n(CCC3)c2=O)c(OC(C)C)c1)C,0.57956595,3.44499189,455.667,5.2385,-8.3,-6.3
[N+]1(CCCCC1)(C)Cc1ccc(C(Nc2ccccc2-n2c(nn(c2=O)C)C)=O)cc1,0.644407681,2.754938144,420.537,3.26222,-9.8,-10.4
c1(CCNC(c2cc(ccc2OCC)-n2c(=O)n3CCSc3n2)=O)cc(c(cc1)OC(C)C)F,0.498707803,2.777974362,486.569,3.4372,-9.9,-12.1
C1CC(=Cc2cccc(C(NC3Cn4c(nn(c4=O)Cc4c(cccc4)F)CC3)=O)c2)CC[N+]1(C)C,0.558686006,3.58033561,490.603,3.2306,-9.9,-9.2
c1c(NC(c2cc[n+](cc2)C2CCC2)=O)ccc(-n2nc3n(CCCC3)c2=O)c1CC,0.646983195,3.059672243,418.521,3.1975,-10.5,-7.7
C1c2ccccc2CN(N(C1)C(Cn1c(nn(Cc2ccccc2)c1=O)CCC)=O)C(=O)C,0.581223404,2.758705203,447.539,2.394,-10,-9
c1cc(c[n+](C2CC[N+](C)(CC2)C)c1)NC(=O)c1cc2-c3n(c(nn3)C)CCc2cc1,0.525529457,3.426309062,418.545,2.76072,-11,-11.1
c1(C[N+]2(CCCCCC2)C)cccc(c1)NC(c1cc2c(cc1)-n1c(n(C)nc1CC2)=O)=O,0.6244698,2.965892381,446.575,3.4425,-10.7,-12
CC(Oc1c(cc(cc1)C(=O)Nc1nn(-c2c(F)cccc2)c(=O)n1C)N1C(C2(C)CCC(CC2)CC1)=O)CC,0.443666481,4.312612866,549.647,5.0729,-9.9,-8.7
O=C(Nc1cccc[n+]1CCC(c1nn(C(C)CC)c(=O)n1C)F)c1cc2CCCCc2cc1,0.508826701,4.029098984,466.581,4.0723,-10.7,-11
N(C[n+]1c2CCCc2ccc1)C(c1ccc(-n2c(n3CCCCc3n2)=O)c[n+]1C)=O,0.635880564,3.658716473,406.49,0.3585,-10.7,-11.4
C[N+]1(C)CCC(CC1)[n+]1cccc(C(=O)Nc2ccc(cc2)-n2nc3CCCCn3c2=O)c1,0.491867463,3.300021936,448.571,2.3214,-10.1,-10.9
O=C(c1[n+](CCC2CC[N+](CC2)(C)C)cccc1)Nc1cc(-n2c(n3CCCc3n2)=O)ccc1F,0.435425173,3.470231755,480.588,2.5356,-10.2,-9.9
C1c2c(NC(=O)c3c[n+](C)ccc3)cccc2CN(C(c2n(C)c(=O)n(C)n2)=O)C1=O,0.469946183,3.234841628,421.437,-0.0793,-9.9,-10.1
[N+]1(CCCCC1)(CCCc1ccc(cc1)C(Nc1cccc(-n2c(n3CCCc3n2)=O)c1)=O)C,0.545588567,2.805621652,460.602,3.7956,-11.1,-12
[N+]1(C)(C)CCC(CC1)C[n+]1ccc(C(=O)Nc2cc(ccc2)-n2nc3n(c2=O)CCC3)cc1,0.479439173,3.277146632,448.571,2.0064,-10.6,-12.3
[n+]1(C)cccc(c1C1CCN(CC1)C(c1ccc(-n2c(n3CCCCc3n2)=O)cc1)=O)F,0.592423201,2.940459568,436.511,2.3537,-10.7,-9.2
[n+]1(CC2CC[N+](C)(CC2)C)cc(NC(=O)c2ccc(-n3c(=O)n(nc3C)C)cc2)ccc1,0.490560409,3.229347896,436.56,1.90562,-9.9,-11.3
c1[n+](CC2CC[N+](C)(CC2)C)cccc1NC(c1ccc(-n2c(n3c(n2)CCC3)=O)cc1)=O,0.479439173,3.278672624,448.571,2.0064,-10.7,-11.3
c1(F)c(cc(C)c(C(Nc2ccc(C#N)cc2F)=O)c1)-n1c(=O)n(C)c(n1)C(F)(F)F,0.636784199,2.727702035,437.328,3.3004,-9.3,-10.5
c1c2CN(CCc2cc(C(C)C)c1)Cc1ccc(cc1)-n1c(n2CCCCc2n1)=O,0.661179231,2.505059709,402.542,4.052,-11.9,-11.6
c1(ccc(c(c1)NC(C1CC1)=O)-n1nc(N2CCCCC2)n(C)c1=O)C(Nc1ccc(cc1)C1(CCC1)F)=O,0.466369469,2.870984126,532.62,4.5108,-9.6,-7
[n+]1(CC2CC[N+](CC2)(C)C)ccccc1NC(c1cc(-n2c(nn(C)c2=O)C)ccc1)=O,0.490560409,3.371346358,436.56,1.90562,-10.2,-11.4
c1(=O)n(-c2cc3CCCCc3cc2Cl)c(CC#N)nn1CC(NC1CCc2c(cccc2Cl)C1)=O,0.562674317,3.445901288,510.425,3.95938,-12.1,-12.2
[n+]1(C2CCCCCC2)ccc(cc1)C[N+](C)(C)Cc1ccc(-n2c(n3CCCc3n2)=O)cc1,0.326380868,3.340099218,447.627,3.9396,-10.3,-10
n1c2n(cccc2F)c(n1-c1cc(c(cc1)C(NC(=O)C1CC1c1ccccc1)C)C)=O,0.521979688,3.507351992,430.483,3.91362,-10.2,-10.9
[n+]1(CCC2CC[N+](C)(CC2)C)cccc(c1)C(Nc1cccc(-n2c(nn(C)c2=O)C)c1)=O,0.462702801,3.215620202,450.587,2.29572,-11.1,-10.8
C1(CC1)NC(c1cc(cc(-n2c(=O)n3CCCCc3n2)c1)C(=O)Nc1cc(F)ccc1)=O,0.643845884,2.497351768,435.459,2.6539,-10.5,-12.9
c1c[n+](C2CCC2)ccc1NC(=O)c1ccc(-n2c(=O)n3c(n2)CCCC3)[n+](c1)C,0.666737943,3.510585482,406.49,1.4596,-8.6,-6.3
c1c[n+](C2CC[N+](CC2)(C)C)ccc1C(Nc1ccc(cc1)-n1c(n2CCCCc2n1)=O)=O,0.491867463,3.324742422,448.571,2.3214,-9.7,-9.1
[n+]1(C2CCCCC2)ccc(cc1)C(Nc1ccc(-n2nc3n(CCCC3)c2=O)[n+](c1)C)=O,0.640111987,3.490658517,434.544,2.2398,-9.3,-6.6
[n+]1(C)c(NC(c2ccccc2)=O)cc(CNC2CCC(C2)c2nn(C)c(n2C)=O)cc1,0.592656648,3.637382958,421.525,1.6215,-9.9,-10.9
c1cc[n+](CC2CCCCC2)[n+](c1)CCNC(c1ccc(cc1)-n1c(=O)n2c(CCC2)n1)=O,0.557652525,3.343126057,448.571,1.5655,-10.7,-11.3
[n+]1(C2(CCCCC2)C)ccc(cc1)C(Nc1ccccc1-n1nc2CCCCCn2c1=O)=O,0.616378127,3.175660276,446.575,3.9795,-9,-10.7
[n+]12CCCc2cc(cc1)CCNC(=O)c1cccc(-n2c(nn(c2=O)C2CC2)C)c1,0.637899844,3.126499614,404.494,1.88352,-10.6,-12.7
C1[N+](C)(C)CCC(Cn2c(n3CCCCc3n2)=NC(=O)c2cccc(OC(C)C)c2)C1,0.690699479,3.290496361,426.585,3.0356,-8.9,-11.2
c1[n+](CC2CC[N+](C)(C)CC2)ccc(C(Nc2ccccc2-n2nc3n(c2=O)CCC3)=O)c1,0.479439173,3.302410762,448.571,2.0064,-10.6,-10.5
c1(ccccc1)NC(C(NC(=O)C1CN(S(=O)(=O)c2ccccc2-n2nc3CCCn3c2=O)CC1)C)=O,0.475834729,3.318646154,524.603,1.1342,-10.2,-12.1
c1(-c2c(F)cc3n(COC3)c2=O)c(c(F)c(F)cc1)N1c2ccc(-n3c(=O)n4CCCCCc4n3)cc2C(=O)C1=C(C)C,0.30829457,3.781883017,589.574,5.1224,-10.2,-7.1
C1C(C(CN(C1)C(CC1(C(F)(C(F)(F)F)F)CC1)=O)n1nc2CCCn2c1=O)C,0.701552056,4.16994583,422.398,2.7684,-8,-11.1
NC(=O)c1c(C2CCCCC2)cc(c(c1)-c1nn(-c2c(F)cc(F)cc2)c(n1C)=O)F,0.683514049,2.715238945,430.43,3.8019,-10.1,-11.9
O=C(N1Cc2c(cc(cc2)F)C1)CC(=O)N1c2ccccc2C(=O)c2n(C1)c(=O)n(-c1ccccc1)n2,0.405638803,2.949660515,497.486,2.6407,-9.9,-8.3
FC(COC(C)Cn1nc(C(N2CCC(c3ccccc3)(c3ccccc3)CC2)=O)n(C)c1=O)(F)F,0.493401566,3.452163455,502.537,3.7715,-9.1,-7.9
c1n(nc(c1)CNC(c1ccc(-n2nc3n(CCCC3)c2=O)cc1)=O)CC[N+]1(C)CCC1,0.566667471,3.053367428,436.54,1.3471,-10.6,-11.1
c1cc(cc(-n2c(n3CCCc3n2)=O)c1NC(=O)N1Cc2ccccc2CC1)C(F)(F)F,0.658156542,2.698379663,443.429,3.5892,-10.2,-10.9
[N+]1(C)(CCC(CC1)C[n+]1ccc(C(=O)Nn2c(n(C)nc2C)=O)cc1)CC1CCCCC1,0.549401752,3.563899697,442.608,1.99852,-10.6,-10.8
C([n+]1ccc[n+](CC2CCC(CC2)C(Nc2cc(ccc2)-n2c(n3c(n2)CCC3)=O)=O)c1)C,0.586440379,3.292621334,448.571,2.0202,-10.7,-12.1
c12c(ccc(c2)C(Nc2cc3CCC(O)c3cc2-n2nc3n(c2=O)CCCC3)=O)CNC(=O)C1,0.551827646,3.53912702,459.506,1.7745,-10.4,-13.2
[n+]12CCCCc2ccc(c1)C(NNC(c1ccc(-n2c(=O)n3CCCCc3n2)cc1)=O)=O,0.476509652,3.047489286,433.492,1.0689,-9.2,-7.9
c1cc(ccc1CC1CC[N+](Cc2ccc(cc2)-n2nc3CCCCn3c2=O)(CC=1)C)F,0.45028441,3.52875464,433.551,4.0288,-11.5,-12.5
C1C(CCN(C[n+]2c[n+](CC3CCC3)ccc2)C1)c1cc(ccc1)NC(c1n(C)c(=O)n(C)n1)=O,0.524346875,3.51998237,477.613,1.5833,-10.7,-10
N(CC1CC[N+](CC1)(CCc1ccccc1)C)C(c1cc(-n2c(=O)n3CCCc3n2)ccc1)=O,0.551545355,2.890360113,460.602,2.8093,-11.1,-11.5
c1cc(ccc1C[N+]1(C)CCCCCCCCC1)C(Nc1c(-n2nc3CCCCn3c2=O)cccc1)=O,0.480704353,3.263076939,502.683,5.3135,-10.5,-12
c1(C[N+]2(CCCC2)C)ccc(cc1)C(=O)Nc1ccc2n(c(n(C)c2c1)=O)C1CCC1,0.63435972,2.687096711,419.549,4.0577,-9.5,-10
O=C1N(c2nn(c(n2C)=O)-c2c(C(=O)N)cccc2)CCC1C[n+]1ccccc1,0.616331757,3.610137974,393.427,0.0105,-8.9,-11.4
n1n(c(n2CCCc21)=O)-c1c(F)cc(cc1)CCNC(c1c(F)cc(cc1C#N)C#N)=O,0.659119974,2.944675589,434.406,1.97426,-10.8,-12.6
[n+]1(cc(ccc1)C1CCC(CC1)c1cc(-n2c(nn(C3CCCC3)c2=O)C)ccc1)C,0.576510297,2.971482165,417.577,4.72342,-10.7,-13
C1[N+](C)(CCC(C1)=Cc1ccc(C(=O)Nc2cc(ccc2)-n2c(n3CCCCc3n2)=O)cc1)C,0.60361448,2.979678267,458.586,3.8762,-11.6,-10.9
O=c1n2c(C(NC(=O)C3CCCc4ccc(F)cc34)=CCC2)nn1-c1cc(ccc1)C(NCC)=O,0.592995807,3.441473288,475.524,2.9037,-10.6,-12.7
C(C1(CC1)C)Oc1ccc(c(c1F)Cn1c(=O)n(c(=O)n(CC)c1=O)C(C)C)C(F)(F)F,0.596543835,3.110587017,459.44,3.1576,-8.9,-8.4
C1CN(C(=O)c2c(ccc(c2F)OC)-n2nc(n(c2=O)CC)C(c2c(F)cccc2)O)CCO1,0.586100869,3.3147172,474.464,1.8948,-8.5,-7.5
[n+]1(CC2CC[N+](CC2)(C)C)ccc(C(Nc2nn(c(=O)n2C)-c2ccccc2F)=O)cc1,0.485284314,3.338349435,440.523,1.7363,-9.5,-10.5
c1c[n+](ccc1C[N+]1(CCCC1)C)Cc1cccc(-n2nc(CC)n(C3CC3)c2=O)c1,0.436503013,3.320140177,419.573,3.0075,-9.8,-11.1
C1CC[N+](C)(CC1)CCC1CCN(c2ccc(cc2F)-n2nc3CCCCCCn3c2=O)CC1,0.603430337,3.086234239,470.657,4.5266,-10.9,-9.3
[n+]1(C)cccc[n+]1CC1CCN(C(=O)c2ccc(cc2)-n2nc3n(c2=O)CCC3)CC1,0.582192479,3.268434473,420.517,0.6446,-10.8,-11.4
N(c1c[n+]2CCCCc2cc1)C(=O)c1cc(C[n+]2n(c(n(n2)C2CCC2)=O)C)ccc1,0.636105621,3.511237325,420.517,1.5187,-11,-13.3
C[N+]1(C)CCC(CC1)c1cc(ccc1C(=O)Nc1c[n+](ccc1)CC)-n1nc2CCn2c1=O,0.480010568,3.409573124,448.571,2.1036,-9.3,-8.8
c12n(c(n(-c3c(NC(C4CC4)=O)c4c(cc3)CCC4)n2)=O)-c2c(cc(cc2)Cl)CN(C1)C(=O)C1CC1,0.586690847,3.029356657,503.99,3.766,-10.7,-6.5
[N+]1(CCC(Cc2ccccc2)(c2ccc(cc2)C(NC2CCCC2)=O)CC1)(Cn1c(nn(C)c1=O)C)C,0.497815434,3.160379383,502.683,3.94122,-9.2,-10.1
C[N+]1(CCC(CC1)[n+]1ccc(cc1)C(=O)Nc1ccc(-n2nc3n(c2=O)CCC3)cc1)C,0.503850478,3.339779635,434.544,1.9313,-9.5,-6.7
N(C(=O)n1nc2CCCCCn2c1=O)c1c(c(Cl)ccc1)C(N1C(CCCC1)C)=O,0.787291894,3.1875219,431.924,3.5194,-8.7,-8.9
c1(CCC2CC[N+](CC2)(C)Cc2cc(ccc2)C[n+]2ccccc2)n(c(=O)n(C)n1)C,0.434487235,3.261371811,421.589,2.444,-10.8,-11.3
[n+]1(C2CC[N+](CC2)(C)C)ccccc1C=Cc1cccc(-n2c(n3c(CCCC3)n2)=O)c1,0.470241967,3.537410874,431.584,3.2395,-10.7,-10.7
C1(CCc2c(cccc2O1)OC)=NNC(=O)c1c(cccc1F)-n1nc2CCCn2c1=O,0.631128163,3.244310405,437.431,2.1964,-10.1,-9.7
[n+]1(ccccc1)CC1CCN(C(c2n(C3CC3)c(n(n2)-c2ccccc2)=O)=O)CC1,0.612738442,2.89602894,404.494,2.2088,-9.5,-11.8
N(c1c(cc(-n2c(n3c(CCc4cc(F)ccc4C3)n2)=O)cc1)C1CCN(C(C2CCCCC2)=O)CC1)C(=O)c1n(nc(C)c1)C,0.339709593,3.181175169,625.749,4.90052,-12.6,-7.9
c1(occc1NC(c1ccc(cc1)-n1nc2n(c1=O)CCC2)=O)Cc1ccc(C(C)C)cc1,0.475312815,2.711002179,442.519,4.5397,-11.1,-12.3
c1(C=C2C(OC(=O)C)CCCC2=C2CCC(C(C)(C)C)(Cc3n(c(=O)n(C)n3)C2)C)cc(ccc1)F,0.508489657,4.388484441,495.639,5.6054,-8.3,-6
c1c(ccc(C(N[n+]2cccc3c2cccc3)=O)c1)-n1nc(C)n(C2CC2)c1=O,0.547934953,2.861482345,386.435,2.50192,-10,-12.7
c12c(cc(N3CCC(CC3)NC(c3nn(C)c(n3C3CCCCC3)=O)=O)cc2)cc(cc1)F,0.655415895,2.714737726,451.546,3.7781,-10.8,-8.8
c1(NC(c2c[n+](ccc2)CC2CC[N+](CC2)(C)C)=O)ccccc1-n1c(=O)n2CCCCc2n1,0.467536929,3.308869161,462.598,2.3965,-10.9,-12.4
O(C(=O)c1c(C(=O)O)cc2c(c1)C(c1c(CC2)c(C(F)(F)F)ccc1)=CCn1c(SC)nn(C)c1=O)C,0.39012429,3.261008369,533.528,4.0378,-9.8,-10.9
c1(C(NC2CCCCCC2)=O)cc[n+](cc1)Cc1cc(-n2c(=O)n(C)nc2C)ccc1F,0.491870472,2.822462503,438.527,2.80692,-10.6,-12.5
